"pl_name","hostname","discoverymethod","default_flag","pl_bmasse","pl_rade","pl_eqt","pl_orbeccen","st_met","st_teff","st_rad","st_mass","pl_insol","density_gcc","v_esc_kms","can_hold_water","WRI_temp_only"
"Kepler-78 b","Kepler-78","Transit",1,1.68,1.201,2223,0,-0.18,5058,0.7475,0.779,4070,5.34745355582095,13.2465004883306,0,0.534557868188419
"Kepler-8 b","Kepler-8","Transit",1,187.5197,15.871944,1680,NA,-0.055,6213,1.486,1.213,NA,0.258596887734768,38.496957816746,0,0.396224492395486
"Kepler-849 b","Kepler-849","Transit",1,298.75870258,8.08167508,362.7,0.078,0.145,5950,1.822,1.259,2.86,3.12092382769735,68.0969423840734,0,0.0606323083585968
"Kepler-87 b","Kepler-87","Transit",1,324.2,13.49,478,0.036,-0.17,5600,1.82,1.1,NA,0.72818867984396,54.9058416337934,0,0.0900058594247573
"Kepler-87 c","Kepler-87","Transit",1,6.4,6.14,403,0.039,-0.17,5600,1.82,1.1,NA,0.152454982458104,11.4346749639395,0,0.070899039563855
"Kepler-91 b","Kepler-91","Transit",1,257.4423,15.322703,2040,NA,0.11,4550,6.3,1.31,NA,0.394584950628767,45.9082020302871,0,0.487937227727817
"Kepler-93 b","Kepler-93","Transit",1,4.66,1.478,1133,0,-0.18,5669,0.919,0.911,275,7.95846620249778,19.8872056163248,0,0.256872086209971
"L 168-9 b","L 168-9","Transit",1,4.07,1.63,998,0,-0.03,3842,0.604,0.614,NA,5.18201132506702,17.6978872954917,0,0.222479810460347
"L 98-59 b","L 98-59","Transit",1,0.46,0.837,620,0.031,-0.46,3415,0.3155,0.2923,24.5,4.32561855467909,8.30298416219196,0,0.126181438361399
"L 98-59 c","L 98-59","Transit",1,2,1.329,526,0.002,-0.46,3415,0.3155,0.2923,12.7,4.69809521876754,13.7394873965604,0,0.102234224135735
"L 98-59 d","L 98-59","Transit",1,1.64,1.627,416,0.006,-0.46,3415,0.3155,0.2923,4.97,2.09965505082907,11.2446559047717,0,0.0742108883397447
"LHS 1140 b","LHS 1140","Transit",1,5.6,1.73,226,0.043,-0.15,3096,0.2159,0.1844,0.43,5.9637094881779,20.1506465135314,1,0.0258069446921254
"LHS 1140 c","LHS 1140","Transit",1,1.91,1.272,422,0.05,-0.15,3096,0.2159,0.1844,5.3,5.11727545595059,13.7243299546609,0,0.0757394339286169
"LHS 1478 b","LHS 1478","Transit",1,2.33,1.242,595,NA,-0.13,3381,0.246,0.236,NA,6.70591269918669,15.3403470621469,0,0.119812498407765
"LP 714-47 b","LP 714-47","Transit",1,30.8,4.7,700,0.04,0.41,3950,0.584,0.59,NA,1.63577627308015,28.6711063690527,0,0.146562046213028
"LP 791-18 c","LP 791-18","Transit",1,7.1,2.438,324.4,8e-05,-0.09,2960,0.182,0.139,2.637,2.70161840709664,19.1130654237711,0,0.0508750923496293
