"pl_name","WRI_weighted","WRI_temp_only","WRI_difference"
"BD+60 1417 b",0.444157768638544,0.300180877894683,0.143976890743861
"BD-14 3065 b",0.508194639758956,0.478001681400148,0.030192958358808
"CFHTWIR-Oph 98 b",0.433270756099734,0.426795404172929,0.00647535192680498
"CT Cha b",0.638716376179486,0.630601482689221,0.00811489349026495
"CoRoT-1 b",0.358030566452942,0.451761648791175,-0.093731082338233
"CoRoT-10 b",0.181891748652418,0.121086286398492,0.060805462253926
"CoRoT-11 b",0.347322215008238,0.390365067638142,-0.043042852629904
"CoRoT-12 b",0.270418532086283,0.335592184036889,-0.065173651950606
"CoRoT-13 b",0.350893474529009,0.401319644358393,-0.050426169829384
"CoRoT-14 b",0.507979648029859,0.465518559091025,0.0424610889388339
"CoRoT-17 b",0.362339192814284,0.382467582095636,-0.020128389281352
"CoRoT-18 b",0.354470093447348,0.363106004636588,-0.00863591118924001
"CoRoT-19 b",0.384471196163099,0.477746923802002,-0.093275727638903
"CoRoT-22 b",0.128114439023479,0.193692201869921,-0.065577762846442
"CoRoT-23 b",0.375555114266226,0.391129340432578,-0.015574226166352
"CoRoT-24 b",0.157724658685405,0.240822357526813,-0.083097698841408
"CoRoT-24 c",0.133005706739571,0.184775685934833,-0.051769979195262
"CoRoT-25 b",0.226635491011849,0.307059333044608,-0.080423842032759
"CoRoT-26 b",0.287940867745794,0.375843884543856,-0.087903016798062
"CoRoT-27 b",0.468397073992497,0.35036812472932,0.118028949263177
"CoRoT-32 b",0.154645801673161,0.207194354571625,-0.052548552898464
"CoRoT-35 b",0.328144085899158,0.413293251471225,-0.085149165572067
"CoRoT-36 b",0.285772270408055,0.367436883805059,-0.081664613397004
"CoRoT-4 b",0.200257451844141,0.241841387919395,-0.041583936075254
"CoRoT-5 b",0.25291985977898,0.334573153644307,-0.081653293865327
"CoRoT-6 b",0.252491631164272,0.227320204825109,0.025171426339163
"CoRoT-9 b",0.0867694251126141,0.0752299187323262,0.0115395063802879
"EPIC 201595106 b",0.353889194447292,0.487427712531526,-0.133538518084234
"EPIC 220674823 b",0.401457955640338,0.553919445647466,-0.152461490007128
"EPIC 220674823 c",0.11354134731422,0.173056836420146,-0.059515489105926
"EPIC 229004835 b",0.121266071339173,0.173056836420146,-0.051790765080973
"EPIC 246851721 b",0.331624152762915,0.325147122512929,0.00647703024998603
"EPIC 248847494 b",0.238767912167769,0.0148523679718747,0.223915544195894
"EPIC 249893012 b",0.273107356655107,0.379920006114182,-0.106812649459075
"EPIC 249893012 c",0.153887612228739,0.220441749675184,-0.066554137446445
"EPIC 249893012 d",0.103740642572081,0.159809441316587,-0.056068798744506
"G 9-40 b",0.0437649410950407,0.0804779252541207,-0.03671298415908
"GJ 1132 b",0.0678857086912179,0.116959213308537,-0.0490735046173191
"GJ 1214 b",0.0715628279281981,0.112679285659695,-0.0411164577314969
"GJ 143 b",0.0624791639121451,0.0757394339286169,-0.0132602700164718
"GJ 3090 b",0.0877714041205008,0.144778743026011,-0.0570073389055102
"GJ 3470 b",0.0761308707896684,0.119430362010547,-0.0432994912208786
"GJ 3473 b",0.102618647269529,0.16515935087764,-0.062540703608111
"GJ 367 b",0.210056845040004,0.315975848979696,-0.105919003939692
"GJ 3929 b",0.0655316918076842,0.11293404325784,-0.0474023514501558
"GJ 414 A b",0.0225933227085496,0.0468499222989325,-0.0242565995903829
"GJ 414 A c",0,0,0
"GJ 486 b",0.0922761277975117,0.14561944309989,-0.0533433153023783
"GJ 806 b",0.133402683165559,0.207703869767916,-0.074301186602357
"GJ 9827 b",0.159285359842602,0.231908389167707,-0.072623029325105
"GJ 9827 c",0.093298680911225,0.150622882327465,-0.05732420141624
"GJ 9827 d",0.0842033301077276,0.140193106259394,-0.0559897761516664
"GPX-1 b",0.651262936348968,0.554174203245612,0.0970887331033561
"GQ Lup b",0.63277036982559,0.643339362596489,-0.0105689927708991
"GU Psc b",0.36644337246375,0.235727205563906,0.130716166899844
"Gliese 12 b",0.0315822448165479,0.0483784678878048,-0.0167962230712569
"HAT-P-1 b",0.235198885287806,0.305021272259445,-0.069822386971639
"HAT-P-12 b",0.155827408737094,0.213563294525259,-0.057735885788165
"HAT-P-16 b",0.382219877361846,0.382467582095636,-0.000247704733790044
"HAT-P-18 b",0.133267732369925,0.185285201131124,-0.052017468761199
"HAT-P-19 b",0.163460136704402,0.218199882811505,-0.054739746107103
"HAT-P-20 b",0.345082615764621,0.215346597712277,0.129736018052344
"HAT-P-23 b",0.418641044971761,0.492013349298143,-0.073372304326382
