"pl_name","hostname","discoverymethod","default_flag","pl_eqt","pl_insol","pl_eqt_est","pl_orbeccen","st_met","st_teff","st_rad","st_mass","T_used","can_hold_water_temp","WRI_temp_prob"
"WASP-190 b","WASP-190","Transit",1,1500,NA,1500,0,-0.02,6400,1.6,1.35,1500,0,4.31064298840213e-08
"WASP-192 b","WASP-192","Transit",1,1620,NA,1620,0,0.14,5910,1.32,1.09,1620,0,7.96550569841827e-09
"WASP-193 b","WASP-193","Transit",1,1254,413,1254,0.056,-0.06,6078,1.239,1.059,1254,0,1.37361602970341e-06
"WASP-194 b","WASP-194","Transit",1,1693,1365,1693,0,0,6405,1.409,1.29,1693,0,2.85170798218234e-09
"WASP-195 b","WASP-195","Transit",1,1522,890,1522,0,0,6300,1.578,1.3,1522,0,3.16299468609573e-08
"WASP-197 b","WASP-197","Transit",1,1665,1276,1665,0,0,6050,2.112,1.36,1665,0,4.22877993304101e-09
"WASP-2 b","WASP-2","Transit",1,1311,492,1311,NA,0.12,5180,0.866,0.895,1311,0,6.15934510614592e-07
"WASP-20 b","WASP-20","Transit",1,1379,NA,1379,0,-0.008,5940,1.392,1.2,1379,0,2.36582034685375e-07
"WASP-33 b","WASP-33","Transit",1,2781.7,NA,2781.7,NA,NA,7430,1.444,1.495,2781.7,0,6.338408947798e-16
"WASP-36 b","WASP-36","Transit",1,1733,NA,1733,NA,-0.26,5959,0.985,1.081,1733,0,1.62428467091149e-09
"WASP-39 b","WASP-39","Transit",1,1166,NA,1166,NA,0.01,5485,0.939,0.913,1166,0,4.73847160328307e-06
"WASP-41 c","WASP-41","Radial Velocity",1,241,NA,241,0.294,0.06,5545,0.87,0.93,241,1,0.680512653977929
"WASP-42 b","WASP-42","Transit",1,1021,NA,1021,NA,0.29,5315,0.892,0.951,1021,0,3.64527286948648e-05
"WASP-44 b","WASP-44","Transit",1,1337,533,1337,NA,-0.003,5420,0.906,0.935,1337,0,4.27215234413896e-07
"WASP-45 b","WASP-45","Transit",1,1153,294,1153,NA,-0.03,5150,0.855,0.85,1153,0,5.68960103209128e-06
"WASP-46 b","WASP-46","Transit",1,1636,NA,1636,NA,-0.3,5600,0.858,0.828,1636,0,6.35969357629675e-09
"WASP-5 b","WASP-5","Transit",1,1706,NA,1706,0.038,0.09,5700,1.029,0.96,1706,0,2.37498629029155e-09
"WASP-50 b","WASP-50","Transit",1,1394.84,NA,1394.84,NA,NA,5400,0.843,0.892,1394.84,0,1.89313852014041e-07
"WASP-52 b","WASP-52","Transit",1,1315,NA,1315,0,0.03,5000,0.79,0.87,1315,0,5.82224212558635e-07
"WASP-53 b","WASP-53","Transit",1,1053,NA,1053,0.03,0.22,4953,0.798,0.839,1053,0,2.32370749120879e-05
"WASP-57 b","WASP-57","Transit",1,1338,NA,1338,NA,-0.25,5600,0.927,0.886,1338,0,4.2124587497292e-07
"WASP-59 b","WASP-59","Transit",1,670,NA,670,0.1,-0.15,4650,0.613,0.719,670,0,0.00506439241620387
"WASP-64 b","WASP-64","Transit",1,1689,NA,1689,0,-0.08,5400,1.058,1.004,1689,0,3.01681960566919e-09
