"pl_name","hostname","discoverymethod","default_flag","pl_eqt","pl_insol","pl_eqt_est","pl_orbeccen","st_met","st_teff","st_rad","st_mass","T_used","can_hold_water_temp","WRI_temp_prob"
"1RXS J160929.1-210524 b","1RXS J160929.1-210524","Imaging",1,1700,NA,1700,NA,NA,4060,NA,0.85,1700,0,2.58420845343183e-09
"2M0437 b","2MASS J04372171+2651014","Imaging",1,1450,NA,1450,NA,0.01,3100,0.84,0.17,1450,0,8.71155472498925e-08
"2MASS J03590986+2009361 b","2MASS J03590986+2009361","Imaging",1,2369,NA,2369,NA,NA,NA,NA,NA,2369,0,2.10872496472383e-13
"2MASS J11011926-7732383 b","2MASS J11011926-7732383","Imaging",1,2677,NA,2677,NA,NA,NA,NA,NA,2677,0,2.76572861271913e-15
"2MASS J11550485-7919108 b","2MASS J11550485-7919108","Imaging",1,2506,NA,2506,NA,NA,NA,NA,NA,2506,0,3.06763006998716e-14
"2MASS J12073346-3932539 b","2MASS J12073346-3932539","Imaging",1,1250,NA,1250,NA,NA,NA,NA,0.024,1250,0,1.45314718970977e-06
"2MASS J21252752-8138278 b","2MASS J21252752-8138278","Imaging",1,1616,NA,1616,NA,NA,NA,NA,NA,1616,0,8.42670213888902e-09
"51 Eri b","51 Eri","Imaging",1,700,NA,700,NA,-0.027,NA,NA,1.75,700,0,0.00332623724249351
"AU Mic b","AU Mic","Transit",1,600,21.2,600,0.00577,0.23,3678,0.744,0.51,600,0,0.0134470756967497
"AU Mic c","AU Mic","Transit",1,459,7.3,459,0.00338,0.23,3678,0.744,0.51,459,0,0.0901826362091846
"BD+05 4868 A b","BD+05 4868 A","Transit",1,1820,NA,1820,NA,-0.05,4596,0.69,0.7,1820,0,4.77527982185041e-10
"BD+60 1417 b","BD+60 1417","Imaging",1,1303,NA,1303,NA,NA,4993,0.797,1,1303,0,6.89323504837154e-07
"BD-14 3065 b","BD-14 3065 A","Transit",1,2001,NA,2001,0.066,-0.34,6935,2.35,1.41,2001,0,3.74019870565204e-11
"BD-210397 b","BD-210397","Radial Velocity",1,NA,0.02,104.732796142456,0.1,0.12,4051,0.747,0.679,104.732796142456,0,0.935449582011787
"Barnard b","Barnard's star","Radial Velocity",1,438,NA,438,0.03,-0.56,3195,0.185,0.162,438,0,0.117542525349302
"Barnard c","Barnard's star","Radial Velocity",1,400,NA,400,0.08,-0.56,3195,0.185,0.162,400,0,0.185245879776266
"Barnard d","Barnard's star","Radial Velocity",1,483,NA,483,0.04,-0.56,3195,0.185,0.162,483,0,0.0660434332310213
"Barnard e","Barnard's star","Radial Velocity",1,340,NA,340,0.04,-0.56,3195,0.185,0.162,340,1,0.345941646306859
"CD Cet b","CD Cet","Radial Velocity",1,464,8.6,464,NA,0.13,3130,0.175,0.161,464,0,0.0845739489831532
"CFBDSIR J145829+101343 b","CFBDSIR J145829+101343","Imaging",1,370,NA,370,NA,NA,580.5,NA,0.021,370,0,0.257488288040695
"CFHTWIR-Oph 98 b","CFHTWIR-Oph 98 A","Imaging",1,1800,NA,1800,NA,NA,2320,0.245,0.0147,1800,0,6.3273269824649e-10
"CT Cha b","CT Cha","Imaging",1,2600,NA,2600,NA,NA,NA,NA,NA,2600,0,8.17263601039609e-15
"CoRoT-1 b","CoRoT-1","Transit",1,1898,NA,1898,0,-0.3,5950,1.11,0.95,1898,0,1.59343795888429e-10
"CoRoT-10 b","CoRoT-10","Transit",1,600,NA,600,0.53,0.26,5075,0.79,0.89,600,0,0.0134470756967497
"CoRoT-11 b","CoRoT-11","Transit",1,1657,NA,1657,0,-0.03,6440,1.37,1.27,1657,0,4.73264213460021e-09
"CoRoT-12 b","CoRoT-12","Transit",1,1442,NA,1442,0.07,0.16,5675,1.116,1.078,1442,0,9.74954270380678e-08
"CoRoT-13 b","CoRoT-13","Transit",1,1700,NA,1700,0,0.01,5945,1.01,1.09,1700,0,2.58420845343183e-09
"CoRoT-14 b","CoRoT-14","Transit",1,1952,NA,1952,0,0.05,6035,1.21,1.13,1952,0,7.45310492931254e-11
"CoRoT-17 b","CoRoT-17","Transit",1,1626,NA,1626,0,0,5740,1.59,1.04,1626,0,7.32060403722529e-09
"CoRoT-18 b","CoRoT-18","Transit",1,1550,NA,1550,0.08,-0.1,5440,1,0.95,1550,0,2.13298809993594e-08
"CoRoT-19 b","CoRoT-19","Transit",1,2000,NA,2000,0.047,-0.02,6090,1.65,1.21,2000,0,3.79320005550161e-11
"CoRoT-22 b","CoRoT-22","Transit",1,885,NA,885,0.077,0.17,5939,1.136,1.099,885,0,0.000247027020265475
"CoRoT-23 b","CoRoT-23","Transit",1,1660,NA,1660,0.16,0.05,5900,1.61,1.14,1660,0,4.5370174335226e-09
"CoRoT-24 b","CoRoT-24","Transit",1,1070,NA,1070,0,0.3,4950,0.86,0.91,1070,0,1.82934395672616e-05
"CoRoT-24 c","CoRoT-24","Transit",1,850,NA,850,0,0.3,4950,0.86,0.91,850,0,0.000404169683433244
"CoRoT-25 b","CoRoT-25","Transit",1,1330,NA,1330,0,-0.01,6040,1.19,1.09,1330,0,4.71437603619081e-07
"CoRoT-26 b","CoRoT-26","Transit",1,1600,NA,1600,0,0.01,5590,1.79,1.09,1600,0,1.05544305029626e-08
"CoRoT-27 b","CoRoT-27","Transit",1,1500,NA,1500,0.065,-0.1,5900,1.08,1.05,1500,0,4.31064298840213e-08
"CoRoT-32 b","CoRoT-32","Transit",1,938,132.26,938,NA,0,5970,0.79,1.08,938,0,0.000117196327911232
"CoRoT-35 b","CoRoT-35","Transit",1,1747,NA,1747,0,-0.5,6390,1.65,1.01,1747,0,1.33385041638541e-09
"CoRoT-36 b","CoRoT-36","Transit",1,1567,NA,1567,0,-0.1,6730,1.52,1.32,1567,0,1.67919139245858e-08
"CoRoT-4 b","CoRoT-4","Transit",1,1074,NA,1074,0,NA,6190,1.17,1.16,1074,0,1.72922503418585e-05
"CoRoT-5 b","CoRoT-5","Transit",1,1438,NA,1438,0.09,-0.25,6100,1.186,1,1438,0,1.03140334135719e-07
"CoRoT-6 b","CoRoT-6","Transit",1,1017,NA,1017,0.1,-0.2,6090,1.025,1.05,1017,0,3.85632313016909e-05
"CoRoT-9 b","CoRoT-9","Transit",1,420,NA,420,0.133,-0.01,5625,0.96,0.96,420,0,0.146461550784856
"DMPP-1 b","DMPP-1","Radial Velocity",1,877,NA,877,0.083,NA,6196,1.26,1.21,877,0,0.000276452332408087
"DMPP-1 c","DMPP-1","Radial Velocity",1,1239,NA,1239,0.057,NA,6196,1.26,1.21,1239,0,1.69641185929442e-06
"DMPP-1 d","DMPP-1","Radial Velocity",1,1632,NA,1632,0.07,NA,6196,1.26,1.21,1632,0,6.72791477353194e-09
"DMPP-1 e","DMPP-1","Radial Velocity",1,1314,NA,1314,0.07,NA,6196,1.26,1.21,1314,0,5.90474750401446e-07
"DMPP-2 b","DMPP-2","Radial Velocity",1,1000,NA,1000,0.078,NA,6500,1.78,1.44,1000,0,4.89843248274485e-05
"DMPP-3 A b","DMPP-3 A","Radial Velocity",1,854,NA,854,0.14,0.18,5138,0.91,0.87,854,0,0.000382057782292156
"DS Tuc A b","DS Tuc A","Transit",1,850,NA,850,0,0,5428,0.964,1.01,850,0,0.000404169683433244
"EPIC 201595106 b","EPIC 201595106","Transit",1,2038,2852,2038,0,0.01,5679,0.98,0.958,2038,0,2.22220943645859e-11
"EPIC 205950854 c","K2-168","Transit",1,960.6,NA,960.6,NA,NA,5502.7,0.83,0.877,960.6,0,8.52741948044036e-05
"EPIC 211822797 b","EPIC 211822797","Transit",1,431,NA,431,NA,0.2,4057,0.58,0.62,431,0,0.128150489053022
"EPIC 211945201 b","EPIC 211945201","Transit",1,817,NA,817,NA,0.1,6069,1.39,1.17,817,0,0.000642873330851807
"EPIC 212297394 b","EPIC 212297394","Transit",1,1149,NA,1149,NA,-0.03,5171,0.8,0.83,1149,0,6.01902242366399e-06
"EPIC 212297394 c","EPIC 212297394","Transit",1,866,NA,866,NA,-0.03,5171,0.8,0.83,866,0,0.000322717085731005
"EPIC 212587672 b","EPIC 212587672","Transit",1,756,NA,756,NA,-0.18,6004,0.98,0.99,756,0,0.00151537984735342
"EPIC 212587672 c","EPIC 212587672","Transit",1,658,NA,658,NA,-0.18,6004,0.98,0.99,658,0,0.00599040004950781
"EPIC 212737443 b","EPIC 212737443","Transit",1,536,NA,536,0.2,-0.137,4684,0.673,0.69,536,0,0.0324554100177535
"EPIC 212737443 c","EPIC 212737443","Transit",1,316,NA,316,0.2,-0.137,4684,0.673,0.69,316,1,0.425749122842487
"EPIC 220674823 b","EPIC 220674823","Transit",1,2299,4656,2299,0,-0.005,5578,0.99,0.913,2299,0,5.64670403386537e-13
"EPIC 220674823 c","EPIC 220674823","Transit",1,804,70,804,0.17,-0.005,5578,0.99,0.913,804,0,0.000771815179737166
"EPIC 229004835 b","EPIC 229004835","Transit",1,804,69.7,804,0.23,-0.12,5868,0.999,0.97,804,0,0.000771815179737166
"EPIC 246851721 b","EPIC 246851721","Transit",1,1401,642,1401,NA,0.141,6202,1.586,1.317,1401,0,1.7359539147509e-07
"EPIC 248847494 b","EPIC 248847494","Transit",1,183,0.19,183,0,-0.23,4898,2.7,0.9,183,0,0.828105850495064
"EPIC 249893012 b","EPIC 249893012","Transit",1,1616,1037,1616,0.06,0.2,5430,1.71,1.05,1616,0,8.42670213888902e-09
"EPIC 249893012 c","EPIC 249893012","Transit",1,990,160,990,0.07,0.2,5430,1.71,1.05,990,0,5.63851368170659e-05
"EPIC 249893012 d","EPIC 249893012","Transit",1,752,53,752,0.15,0.2,5430,1.71,1.05,752,0,0.0016029784910254
"FU Tau b","FU Tau","Imaging",1,2375,NA,2375,NA,NA,2838,NA,0.05,2375,0,1.93799879940644e-13
"G 192-15 b","G 192-15","Radial Velocity",1,453.6,7.06,453.6,0,NA,NA,NA,0.132,453.6,0,0.096614359836122
"G 192-15 c","G 192-15","Radial Velocity",1,55.9,0.0016,55.9,0.676,NA,NA,NA,0.132,55.9,0,0.966454122893493
"G 196-3 b","G 196-3","Imaging",1,1670,NA,1670,NA,NA,NA,NA,NA,1670,0,3.94148358117098e-09
"G 261-6 b","G 261-6","Radial Velocity",1,322.3,1.8,322.3,0,NA,NA,NA,0.118,322.3,1,0.404231345190871
"G 264-012 b","G 264-012","Radial Velocity",1,587,20.5,587,NA,0.1,3326,0.305,0.297,587,0,0.0161027902076687
"G 264-012 c","G 264-012","Radial Velocity",1,387,3.87,387,NA,0.1,3326,0.305,0.297,387,0,0.214455321480623
"G 268-110 b","G 268-110","Radial Velocity",1,534,13.57,534,0,NA,NA,NA,0.137,534,0,0.0333508665349082
"G 9-40 b","G 9-40","Transit",1,440.6,6.27,440.6,0,-0.07,3395,0.3026,0.2952,440.6,0,0.113800447198807
"GJ 1002 b","GJ 1002","Radial Velocity",1,230.9,0.67,230.9,NA,-0.25,3024,0.137,0.12,230.9,1,0.710589440819389
"GJ 1002 c","GJ 1002","Radial Velocity",1,181.7,0.257,181.7,NA,-0.25,3024,0.137,0.12,181.7,0,0.83069413842673
"GJ 1061 b","GJ 1061","Radial Velocity",1,NA,3.8,388.840147019481,0.31,-0.08,2953,0.156,0.12,388.840147019481,0,0.210125499153543
"GJ 1061 c","GJ 1061","Radial Velocity",1,NA,1.4,302.940409703532,0.29,-0.08,2953,0.156,0.12,302.940409703532,1,0.4711692274336
"GJ 1061 d","GJ 1061","Radial Velocity",1,NA,0.6,245.11111869696,0.53,-0.08,2953,0.156,0.12,245.11111869696,1,0.667806340128365
"GJ 1132 b","GJ 1132","Transit",1,583.8,19.3,583.8,0.0118,-0.17,3229,0.2211,0.1945,583.8,0,0.0168319562041178
"GJ 1132 c","GJ 1132","Radial Velocity",1,300,NA,300,0.27,NA,3270,0.2105,0.181,300,1,0.481489495237934
"GJ 1214 b","GJ 1214","Transit",1,567,17.2,567,0.0062,0.24,3101,0.2162,0.182,567,0,0.021225384023903
"GJ 1289 b","GJ 1289","Radial Velocity",1,150,NA,150,0,0.02,3296,NA,0.21,150,0,0.884588018426184
"GJ 143 b","GJ 143","Transit",1,422,NA,422,0.188,0.003,4640,0.695,0.73,422,0,0.142978323407121
"GJ 238 b","GJ 238","Transit",1,758,NA,758,NA,0.15,3485,0.4314,0.4193,758,0,0.00147338968626015
"GJ 251 b","GJ 251","Radial Velocity",1,351,2.53,351,0.1,-0.03,3451,0.364,0.36,351,0,0.311801536243815
"GJ 273 b","GJ 273","Radial Velocity",1,NA,1.06,282.586666157972,0.1,0.09,3382,0.293,0.29,282.586666157972,1,0.54263415992626
"GJ 273 c","GJ 273","Radial Velocity",1,NA,6.66,447.397709966315,0.17,0.09,3382,0.293,0.29,447.397709966315,0,0.104504404920225
"GJ 3021 b","GJ 3021","Radial Velocity",1,350,NA,350,0.511,0.1,5540,0.9,0.9,350,1,0.314828934247803
"GJ 3090 b","GJ 3090","Transit",1,693,NA,693,0.32,-0.06,3556,0.516,0.519,693,0,0.00366928313322662
"GJ 3138 b","GJ 3138","Radial Velocity",1,NA,118.1,918.095109311324,0.19,-0.3,3717,0.5,0.681,918.095109311324,0,0.00015507357007543
"GJ 3138 c","GJ 3138","Radial Velocity",1,NA,13.9,537.748118552448,0.11,-0.3,3717,0.5,0.681,537.748118552448,0,0.0316917953907905
"GJ 3138 d","GJ 3138","Radial Velocity",1,NA,0.1,156.612059065512,0.32,-0.3,3717,0.5,0.681,156.612059065512,0,0.874744239133279
"GJ 3293 b","GJ 3293","Radial Velocity",1,NA,1.07,283.250799213004,0.06,0.02,3466,0.404,0.42,283.250799213004,1,0.540313940851875
"GJ 3293 c","GJ 3293","Radial Velocity",1,NA,0.17,178.828786639781,0.11,0.02,3466,0.404,0.42,178.828786639781,0,0.836300607727985
"GJ 3293 d","GJ 3293","Radial Velocity",1,NA,0.59,244.083376488982,0.12,0.02,3466,0.404,0.42,244.083376488982,1,0.671006701399238
"GJ 3293 e","GJ 3293","Radial Velocity",1,NA,3.34,376.497256783759,0.21,0.02,3466,0.404,0.42,376.497256783759,0,0.240399771220452
"GJ 3323 b","GJ 3323","Radial Velocity",1,NA,2.58,352.963767174743,0.23,-0.27,3159,0.119,0.164,352.963767174743,0,0.30590312667051
"GJ 3323 c","GJ 3323","Radial Velocity",1,NA,0.17,178.828786639781,0.17,-0.27,3159,0.119,0.164,178.828786639781,0,0.836300607727985
"GJ 341 b","GJ 341","Transit",1,NA,13.8,536.778325393347,0,-0.16,3770,0.5066,0.48,536.778325393347,0,0.0321132494567701
"GJ 3470 b","GJ 3470","Radial Velocity",1,593.5,NA,593.5,NA,0.2,3600,0.547,0.539,593.5,0,0.0147160362181692
"GJ 3473 b","GJ 3473","Transit",1,773,59.4,773,0,0.11,3347,0.364,0.36,773,0,0.00119336504085271
"GJ 3473 c","GJ 3473","Radial Velocity",1,329.1,1.95,329.1,0,0.11,3347,0.364,0.36,329.1,1,0.38141427140893
"GJ 357 b","GJ 357","Transit",1,518,NA,518,NA,-0.12,3505,0.337,0.342,518,0,0.0414230799457706
"GJ 357 c","GJ 357","Radial Velocity",1,401.2,4.45,401.2,NA,-0.12,3505,0.337,0.342,401.2,0,0.182710884409772
"GJ 357 d","GJ 357","Radial Velocity",1,219.6,0.38,219.6,NA,-0.12,3505,0.337,0.342,219.6,1,0.742165396324176
"GJ 367 b","GJ 367","Transit",1,1365,579,1365,0.06,-0.01,3522,0.458,0.455,1365,0,2.88095687453446e-07
"GJ 3929 b","GJ 3929","Transit",1,568,17.3,568,0,-0.02,3384,0.32,0.313,568,0,0.0209350163556843
"GJ 3929 c","GJ 3929","Radial Velocity",1,317,1.68,317,0,-0.02,3384,0.32,0.313,317,1,0.422312531507065
"GJ 393 b","GJ 393","Radial Velocity",1,485,9.21,485,NA,-0.09,3579,0.426,0.426,485,0,0.0643286099052908
"GJ 3942 b","GJ 3942","Radial Velocity",1,590,NA,590,0.121,-0.04,3867,0.61,0.63,590,0,0.0154474601936914
"GJ 3988 b","GJ 3988","Radial Velocity",1,348,2.45,348,0,-0.12,3273,0.19734,0.1842,348,1,0.320931002740892
"GJ 3998 b","GJ 3998","Radial Velocity",1,NA,48,733.053225214538,0,-0.13,3726,0.5,0.52,733.053225214538,0,0.00209170371968174
"GJ 3998 c","GJ 3998","Radial Velocity",1,NA,5.4,424.544911083181,0,-0.13,3726,0.5,0.52,424.544911083181,0,0.13864616150348
"GJ 3998 d","GJ 3998","Radial Velocity",1,NA,1.2,291.487886320701,0,-0.13,3726,0.5,0.52,291.487886320701,1,0.511423095055111
"GJ 414 A b","GJ 414 A","Radial Velocity",1,308.6,NA,308.6,0.45,0.24,4120,0.68,0.65,308.6,1,0.451381913522783
"GJ 414 A c","GJ 414 A","Radial Velocity",1,124.7,NA,124.7,0.105,0.24,4120,0.68,0.65,124.7,0,0.91626256559664
"GJ 486 b","GJ 486","Radial Velocity",1,696.3,39.2,696.3,0.00086,-0.15,3317,0.3243,0.312,696.3,0,0.00350337797903229
"GJ 504 b","GJ 504","Imaging",1,510,NA,510,NA,0.28,6234,NA,1.22,510,0,0.0461309864021509
"GJ 514 b","GJ 514","Radial Velocity",1,202,0.28,202,0.45,-0.14,3728,0.5,0.51,202,1,0.786659845412861
"GJ 720 A b","GJ 720 A","Radial Velocity",1,401,NA,401,0.12,-0.14,3837,0.56,0.57,401,0,0.18313150540629
"GJ 724 b","GJ 724","Radial Velocity",1,611,23.32,611,0.577,-0.02,3799,0.52226,0.5271,611,0,0.011541023147981
"GJ 740 b","GJ 740","Radial Velocity",1,829,79,829,0.24,0.08,3913,0.56,0.58,829,0,0.000543045123935886
"GJ 806 b","GJ 806","Transit",1,940,130,940,NA,-0.28,3600,0.4144,0.413,940,0,0.000113944474902573
"GJ 806 c","GJ 806","Radial Velocity",1,490,9.5,490,NA,-0.28,3600,0.4144,0.413,490,0,0.0602214204466203
"GJ 887 b","GJ 887","Radial Velocity",1,468,7.95,468,0,-0.06,3688,0.4712,0.489,468,0,0.0803169544065665
"GJ 887 c","GJ 887","Radial Velocity",1,352,2.56,352,NA,-0.06,3688,0.4712,0.489,352,0,0.308790129879821
"GJ 9689 b","GJ 9689","Radial Velocity",1,453.04,NA,453.04,0.29,0.05,3836,0.57,0.59,453.04,0,0.0973043079584093
"GJ 9827 b","GJ 9827","Transit",1,1035.01,NA,1035.01,NA,-0.29,4236,0.58,0.62,1035.01,0,2.99306913200417e-05
"GJ 9827 c","GJ 9827","Transit",1,715.94,NA,715.94,NA,-0.29,4236,0.58,0.62,715.94,0,0.00265970252219887
"GJ 9827 d","GJ 9827","Transit",1,675,34.9,675,NA,-0.29,4236,0.58,0.62,675,0,0.00472195059050942
"GPX-1 b","GPX-1","Transit",1,2300,4650,2300,0,0.35,7000,1.56,1.68,2300,0,5.56780417843254e-13
"GQ Lup b","GQ Lup","Imaging",1,2650,NA,2650,NA,NA,NA,NA,0.7,2650,0,4.04397557918219e-15
"GSC 06214-00210 b","GSC 06214-00210","Imaging",1,2300,NA,2300,NA,NA,4200,NA,0.9,2300,0,5.56780417843254e-13
"GU Psc b","GU Psc","Imaging",1,1050,NA,1050,NA,0.1,NA,NA,0.325,1050,0,2.42389744501643e-05
"Gl 378 b","Gl 378","Radial Velocity",1,830,NA,830,0.109,0.06,3879,0.56,0.56,830,0,0.000535461365509687
"Gliese 12 b","Gliese 12","Transit",1,314.6,1.62,314.6,0.5,-0.32,3296,0.2617,0.2414,314.6,1,0.430572355968375
"HAT-P-1 b","HAT-P-1","Transit",1,1322,NA,1322,NA,0.13,5980,1.174,1.151,1322,0,5.27609707255241e-07
"HAT-P-12 b","HAT-P-12","Transit",1,963,NA,963,0,-0.29,4650,0.701,0.733,963,0,8.24427144736956e-05
"HAT-P-16 b","HAT-P-16","Transit",1,1626,NA,1626,0.036,0.17,6158,1.237,1.218,1626,0,7.32060403722529e-09
"HAT-P-18 b","HAT-P-18","Transit",1,852,NA,852,0.084,0.1,4803,0.749,0.77,852,0,0.000392958294179539
"HAT-P-19 b","HAT-P-19","Transit",1,981.2,154,981.2,NA,0.166,4962,0.773,0.807,981.2,0,6.38173622974436e-05
"HAT-P-20 b","HAT-P-20","Transit",1,970,NA,970,0.015,0.35,4595,0.694,0.756,970,0,7.47098961559994e-05
"HAT-P-23 b","HAT-P-23","Transit",1,2056,NA,2056,0.106,0.15,5905,1.203,1.13,2056,0,1.72498641720815e-11
"HAT-P-25 b","HAT-P-25","Transit",1,1182,325,1182,0.023,0.294,5519,0.919,1.012,1182,0,3.78321945853775e-06
"HAT-P-28 b","HAT-P-28","Transit",1,1384,NA,1384,0.051,0.12,5680,1.103,1.025,1384,0,2.20509043931679e-07
"HAT-P-32 b","HAT-P-32","Transit",1,1835.7,1841,1835.7,0.159,-0.16,6001,1.367,1.132,1835.7,0,3.82873214794931e-10
"HAT-P-36 b","HAT-P-36","Transit",1,1780.97,NA,1780.97,NA,NA,5620,1.041,1.03,1780.97,0,8.27016150696662e-10
"HAT-P-37 b","HAT-P-37","Transit",1,1271,NA,1271,0.058,0.03,5500,0.877,0.929,1271,0,1.08137728348865e-06
"HAT-P-38 b","HAT-P-38","Transit",1,1082,NA,1082,0.067,0.06,5330,0.923,0.886,1082,0,1.54512540250441e-05
"HAT-P-39 b","HAT-P-39","Transit",1,1752,NA,1752,0,0.19,6430,1.625,1.404,1752,0,1.24323081317368e-09
"HAT-P-4 b","HAT-P-4","Transit",1,1686,NA,1686,0,NA,5860,1.596,1.248,1686,0,3.14689722673791e-09
"HAT-P-42 b","HAT-P-42","Transit",1,1428,NA,1428,0,0.27,5743,1.53,1.178,1428,0,1.18724200525604e-07
"HAT-P-43 b","HAT-P-43","Transit",1,1353,NA,1353,NA,0.2,5693,1.08,1.03,1353,0,3.41090486216358e-07
"HAT-P-44 b","HAT-P-44","Transit",1,1108,NA,1108,0.044,0.33,5295,0.949,0.942,1108,0,1.07171152149804e-05
"HAT-P-45 b","HAT-P-45","Transit",1,1652,NA,1652,0.049,0.07,6330,1.319,1.259,1652,0,5.07760635703621e-09
"HAT-P-46 b","HAT-P-46","Transit",1,1458,NA,1458,0.123,0.3,6120,1.396,1.284,1458,0,7.78407643806547e-08
"HAT-P-50 b","HAT-P-50","Transit",1,1862,NA,1862,0.115,-0.18,6280,1.698,1.273,1862,0,2.64444034368061e-10
"HAT-P-51 b","HAT-P-51","Transit",1,1168.2,310,1168.2,NA,0.302,5453,0.995,0.961,1168.2,0,4.59403167471983e-06
"HAT-P-52 b","HAT-P-52","Transit",1,1218,NA,1218,0.047,0.28,5131,0.893,0.887,1218,0,2.2796258459685e-06
"HAT-P-53 b","HAT-P-53","Transit",1,1778,NA,1778,0.134,0,5956,1.209,1.093,1778,0,8.62310901720625e-10
"HAT-P-54 b","HAT-P-54","Transit",1,818,NA,818,0.074,-0.127,4390,0.617,0.645,818,0,0.000633896331228019
"HAT-P-55 b","HAT-P-55","Transit",1,1367,583,1367,NA,0.003,5804,1.105,1.028,1367,0,2.80100971725214e-07
"HAT-P-58 b","HAT-P-58","Transit",1,1622,1146,1622,0.073,-0.224,6078,1.53,1.031,1622,0,7.74446118505685e-09
"HAT-P-59 b","HAT-P-59","Transit",1,1277.8,441.4,1277.8,0.03,0.217,5678,1.1038,1.008,1277.8,0,9.82702341656387e-07
"HAT-P-60 b","HAT-P-60","Transit",1,1772,1634,1772,0.25,0.037,6212,2.197,1.435,1772,0,9.38275362312199e-10
"HAT-P-61 b","HAT-P-61","Transit",1,1505,849.5,1505,0.113,0.194,5587,0.938,1.004,1505,0,4.01778500583618e-08
"HAT-P-62 b","HAT-P-62","Transit",1,1512,867.2,1512,0.101,0.414,5629,1.17,1.023,1512,0,3.64090365401343e-08
"HAT-P-63 b","HAT-P-63","Transit",1,1237,387.4,1237,0.069,0.251,5400,0.9661,0.925,1237,0,1.74483122297171e-06
"HAT-P-64 b","HAT-P-64","Transit",1,1766,1611,1766,0.101,-0.113,6457,1.735,1.298,1766,0,1.02093183996579e-09
"HAT-P-65 b","HAT-P-65","Transit",1,1818,1821,1818,NA,0.208,5872,1.666,1.297,1818,0,4.91157715578395e-10
"HAT-P-66 b","HAT-P-66","Transit",1,1896,NA,1896,0.09,0.035,6002,1.881,1.255,1896,0,1.63891829799693e-10
"HAT-P-67 b","HAT-P-67","Transit",1,1903,NA,1903,0,-0.08,6406,2.546,1.642,1903,0,1.48518240491748e-10
"HAT-P-68 b","HAT-P-68","Transit",1,1027.8,184.8,1027.8,0.041,-0.059,4508,0.6701,0.6785,1027.8,0,3.31265489073671e-05
"HAT-P-69 b","HAT-P-69","Transit",1,1930,NA,1930,0,-0.069,7394,1.926,1.648,1930,0,1.01573597371001e-10
"HAT-P-70 b","HAT-P-70","Transit",1,2562,NA,2562,0,-0.059,8450,1.858,1.89,2562,0,1.39502797801631e-14
"HAT-P-9 b","HAT-P-9","Transit",1,1540,931,1540,0.084,0.12,6350,1.338,1.281,1540,0,2.45526943603436e-08
"HATS-1 b","HATS-1","Transit",1,1359,NA,1359,0.12,-0.06,5870,1.038,0.986,1359,0,3.13475195717357e-07
"HATS-10 b","HATS-10","Transit",1,1407,NA,1407,0.501,0.15,5880,1.105,1.101,1407,0,1.5954079864257e-07
"HATS-11 b","HATS-11","Transit",1,1596,NA,1596,NA,0.03,6563,1.54,1.33,1596,0,1.11655236275079e-08
"HATS-12 b","HATS-12","Transit",1,1446,NA,1446,NA,-0.1,6357,1.17,1.16,1446,0,9.21594676810995e-08
"HATS-13 b","HATS-13","Transit",1,1244,NA,1244,0.181,0.05,5523,0.887,0.962,1244,0,1.58116061012384e-06
"HATS-14 b","HATS-14","Transit",1,1276,NA,1276,0.142,0.33,5346,0.933,0.967,1276,0,1.00791036358458e-06
"HATS-15 b","HATS-15","Transit",1,1505,NA,1505,0.126,0,5311,0.922,0.871,1505,0,4.01778500583618e-08
"HATS-16 b","HATS-16","Transit",1,1592,NA,1592,0,-0.1,5738,1.238,0.97,1592,0,1.1811998557102e-08
"HATS-17 b","HATS-17","Transit",1,814,72.7,814,0.029,0.3,5846,1.091,1.131,814,0,0.00067057381315674
"HATS-18 b","HATS-18","Transit",1,2069.48,NA,2069.48,NA,NA,5600,1.02,1.037,2069.48,0,1.4269488978936e-11
"HATS-2 b","HATS-2","Transit",1,1550,NA,1550,NA,NA,NA,0.876,0.904,1550,0,2.13298809993594e-08
"HATS-22 b","HATS-22","Transit",1,858,NA,858,0.079,0,4803,0.689,0.759,858,0,0.000361155174027007
"HATS-23 b","HATS-23","Transit",1,1654,NA,1654,0.114,0.28,5780,1.199,1.121,1654,0,4.93670167729866e-09
"HATS-24 b","HATS-24","Transit",1,2166,NA,2166,0,-0.229,6125,1.12,1.07,2166,0,3.66916876675426e-12
"HATS-25 b","HATS-25","Transit",1,1277,NA,1277,0.176,0.02,5715,1.107,0.994,1277,0,9.93827120959135e-07
"HATS-26 b","HATS-26","Transit",1,1918,NA,1918,0.245,-0.02,6071,2.04,1.299,1918,0,1.20257924912596e-10
"HATS-27 b","HATS-27","Transit",1,1659,NA,1659,0.581,0.09,6438,1.74,1.415,1659,0,4.60131028694961e-09
"HATS-28 b","HATS-28","Transit",1,1253,NA,1253,0.202,0.01,5498,0.922,0.929,1253,0,1.39308114588048e-06
"HATS-29 b","HATS-29","Transit",1,1212,NA,1212,0.158,0.16,5670,1.073,1.032,1212,0,2.48044682366484e-06
"HATS-3 b","HATS-3","Transit",1,1648,NA,1648,0,-0.157,6351,1.404,1.209,1648,0,5.37159572491729e-09
"HATS-30 b","HATS-30","Transit",1,1414,NA,1414,0.096,0.06,5943,1.061,1.093,1414,0,1.44575352439717e-07
"HATS-31 b","HATS-31","Transit",1,1823,NA,1823,0.233,0,6050,1.87,1.275,1823,0,4.57789268271042e-10
