pl_name,hostname,discoverymethod,default_flag,pl_eqt,pl_insol,pl_eqt_est,pl_orbeccen,st_met,st_teff,st_rad,st_mass
TOI-1296 b,TOI-1296,Transit,1,1414.84,,1414.84,0.0,0.405,5567.0,1.7031,1.1576
TOI-1298 b,TOI-1298,Transit,1,1278.0,,1278.0,0.0,0.397,5752.0,1.4536,1.2187
TOI-1301.01,TOI-1301,Transit,1,,72.55,812.801607212534,,,4820.0,0.732,0.77
TOI-132 b,TOI-132,Transit,1,1395.0,860.0,1395.0,0.059,0.16,5397.0,0.9,0.97
TOI-1333 b,TOI-1333,Transit,1,1679.0,,1679.0,0.073,0.119,6274.0,1.925,1.464
TOI-1346 b,TOI-1346,Transit,1,1324.0,,1324.0,,-0.01,5099.0,0.78,0.82
TOI-1346 c,TOI-1346,Transit,1,928.0,,928.0,,-0.01,5099.0,0.78,0.82
TOI-1347 b,TOI-1347,Transit,1,1400.0,,1400.0,0.0,0.04,5464.0,0.83,0.913
TOI-1347 c,TOI-1347,Transit,1,1000.0,,1000.0,0.0,0.04,5464.0,0.83,0.913
TOI-1386 b,TOI-1386,Transit,1,615.03,,615.03,0.0,0.149,5735.0,1.0235,1.0363
TOI-139 b,TOI-139,Transit,1,561.17,,561.17,,-0.238,4570.0,0.7007,0.69
TOI-1410.01,TOI-1410,Transit,1,1236.7,,1236.7,0.0,0.328,4635.0,0.7558,0.7941
TOI-1411 b,TOI-1411,Transit,1,976.4,,976.4,0.0,0.012,4115.0,0.614,0.6045
TOI-1416 b,TOI-1416,Transit,1,1517.0,883.0,1517.0,0.0,0.08,4884.0,0.793,0.798
TOI-1420 b,TOI-1420,Transit,1,957.0,139.0,957.0,0.17,0.28,5510.0,0.923,0.987
TOI-1422 b,TOI-1422,Transit,1,867.0,,867.0,0.04,-0.09,5840.0,1.019,0.981
TOI-1431 b,TOI-1431,Transit,1,2370.0,5300.0,2370.0,0.0022,0.09,7690.0,1.92,1.9
TOI-1437 b,TOI-1437,Transit,1,,82.0,838.066850514026,0.17,-0.4924,6008.0,1.17,1.1
TOI-1439 b,TOI-1439,Transit,1,748.4,,748.4,0.157,0.226,5841.0,1.6184,1.2313
TOI-1442 b,TOI-1442,Transit,1,1072.0,,1072.0,,,3330.0,0.31,0.29
TOI-1443 b,TOI-1443,Transit,1,520.66,,520.66,0.0,-0.294,5224.0,0.7511,0.7663
TOI-1444 b,TOI-1444,Transit,1,2130.02,,2130.02,0.0,0.146,5460.0,0.9105,0.9513
TOI-1448 b,TOI-1448,Transit,1,426.0,5.45,426.0,0.36,0.37,3412.0,0.38,0.372
TOI-1450 A b,TOI-1450 A,Transit,1,722.0,,722.0,,-0.12,3437.0,0.483,0.48
TOI-1450 A c,TOI-1450 A,Transit,1,533.0,,533.0,,-0.12,3437.0,0.483,0.48
TOI-1451 b,TOI-1451,Transit,1,723.33,,723.33,0.0,0.019,5801.0,1.0162,1.0022
TOI-1452 b,TOI-1452,Transit,1,326.0,1.8,326.0,0.0,-0.07,3185.0,0.275,0.249
TOI-1453 b,TOI-1453,Transit,1,944.2,132.6,944.2,0.0,-0.31,4975.0,0.72,0.715
TOI-1453 c,TOI-1453,Transit,1,819.8,75.3,819.8,0.0,-0.31,4975.0,0.72,0.715
TOI-1467 b,TOI-1467,Transit,1,,18.13,574.6781043731667,,,3834.0,0.491,0.489
TOI-1468 b,TOI-1468,Transit,1,683.5,36.4,683.5,0.0099,-0.01,3376.0,0.3714,0.3527
TOI-1468 c,TOI-1468,Transit,1,338.1,2.13,338.1,0.111,-0.01,3376.0,0.3714,0.3527
TOI-1470 b,TOI-1470,Transit,1,734.0,46.3,734.0,0.3,0.0,3709.0,0.469,0.471
TOI-1470 c,TOI-1470,Transit,1,373.0,3.35,373.0,0.5,0.0,3709.0,0.469,0.471
TOI-1472 b,TOI-1472,Transit,1,811.14,,811.14,0.0,0.287,5133.0,0.8377,0.9154
TOI-150.01,TOI-150,Transit,1,1404.5,,1404.5,0.262,0.28,6255.0,1.526,1.351
