pl_name,hostname,discoverymethod,default_flag,pl_eqt,pl_insol,pl_eqt_est,pl_orbeccen,st_met,st_teff,st_rad,st_mass
TOI-2458 b,TOI-2458,Transit,1,1509.4,865.0,1509.4,0.087,-0.1,6005.0,1.31,1.05
TOI-2459 b,TOI-2459,Transit,1,445.01,,445.01,,,4195.0,0.6751,0.66
TOI-2485 b,TOI-2485,Transit,1,1134.0,275.6,1134.0,0.0341,,,1.72,1.163
TOI-2497 b,TOI-2497,Transit,1,1595.0,,1595.0,0.195,0.094,7360.0,2.36,1.859
TOI-2498 b,TOI-2498,Transit,1,1443.0,,1443.0,0.089,0.167,5905.0,1.26,1.12
TOI-2524 b,TOI-2524,Transit,1,1100.0,,1100.0,0.0,0.06,5831.0,1.119,1.007
TOI-2529 b,TOI-2529,Transit,1,636.0,,636.0,0.021,0.1,5802.0,1.7,1.11
TOI-2537 b,TOI-2537,Transit,1,338.0,,338.0,0.364,0.08,4870.0,0.771,0.771
TOI-2537 c,TOI-2537,Radial Velocity,1,123.1,,123.1,0.287,0.08,4870.0,0.771,0.771
TOI-2567 b,TOI-2567,Transit,1,1352.0,558.0,1352.0,0.0,0.241,5611.0,1.686,1.13
TOI-257 b,TOI-257,Transit,1,1027.0,186.0,1027.0,0.0,0.175,6095.0,1.867,1.407
TOI-2570 b,TOI-2570,Transit,1,1431.0,699.0,1431.0,0.0,0.191,5771.0,1.095,1.063
TOI-2580 b,TOI-2580,Transit,1,2410.0,1730.0,2410.0,0.08,0.26,6120.0,1.81,1.33
TOI-2583 A b,TOI-2583 A,Transit,1,1456.0,750.9,1456.0,0.0,0.158,5936.0,1.477,1.215
TOI-2587 A b,TOI-2587 A,Transit,1,1445.0,728.0,1445.0,0.0,0.13,5760.0,1.726,1.15
TOI-2589 b,TOI-2589,Transit,1,592.0,,592.0,0.522,0.12,5579.0,1.07,0.93
TOI-260 b,TOI-260,Transit,1,493.0,,493.0,0.0,-0.47,4026.0,0.607,0.616
TOI-261.01,TOI-261,Transit,1,1722.49,874.7956,1722.49,,,5890.3,1.28018,0.496728
TOI-262 b,TOI-262,Transit,1,584.0,,584.0,,0.26,5310.0,0.853,0.913
TOI-2641 b,TOI-2641,Transit,1,1387.0,602.0,1387.0,0.18,-0.15,6100.0,1.336,1.16
TOI-269 b,TOI-269,Transit,1,531.0,19.0,531.0,0.425,-0.29,3514.0,0.398,0.3917
TOI-270 b,TOI-270,Transit,1,581.0,,581.0,0.034,-0.2,3506.0,0.378,0.386
TOI-270 c,TOI-270,Transit,1,488.0,,488.0,0.027,-0.2,3506.0,0.378,0.386
TOI-270 d,TOI-270,Transit,1,387.0,,387.0,0.032,-0.2,3506.0,0.378,0.386
TOI-2714 b,TOI-2714,Transit,1,1603.0,,1603.0,0.164,0.3,5665.0,1.25,1.07
TOI-2719 b,TOI-2719,Transit,1,1710.0,,1710.0,,0.27,5762.0,1.69,1.02
TOI-2768 b,TOI-2768,Transit,1,855.0,,855.0,,,4008.0,0.657,0.63
TOI-2796 b,TOI-2796,Transit,1,1205.0,352.0,1205.0,0.0,0.239,5764.0,1.069,1.063
TOI-2803 A b,TOI-2803 A,Transit,1,1893.0,2150.0,1893.0,0.0,-0.105,6280.0,1.245,1.118
TOI-2818 b,TOI-2818,Transit,1,1376.0,598.0,1376.0,0.0,-0.02,5721.0,1.229,0.977
TOI-2842 b,TOI-2842,Transit,1,1471.0,781.8,1471.0,0.0,0.233,5910.0,1.265,1.135
TOI-286 b,TOI-286,Transit,1,979.0,,979.0,0.0,-0.05,5152.0,0.78,0.832
TOI-286 c,TOI-286,Transit,1,475.0,,475.0,0.0,-0.05,5152.0,0.78,0.832
TOI-2876 b,TOI-2876,Transit,1,929.0,124.2,929.0,0.13,0.353,5271.0,0.873,0.939
TOI-2886 b,TOI-2886,Transit,1,1978.0,2560.0,1978.0,0.11,0.284,6240.0,1.241,1.229
TOI-2969 b,TOI-2969,Transit,1,1186.0,382.0,1186.0,0.0,0.08,4738.0,0.7,0.71
TOI-2977 b,TOI-2977,Transit,1,1544.0,947.8,1544.0,0.0,0.013,5691.0,1.073,0.936
TOI-2981 b,TOI-2981,Transit,1,1358.0,,1358.0,0.035,-0.11,5940.0,1.08,1.03
TOI-2986 b,TOI-2986,Transit,1,1622.0,1156.0,1622.0,0.14,0.095,5906.0,1.458,1.122
TOI-2989 b,TOI-2989,Transit,1,1001.0,124.0,1001.0,0.0,-0.04,4672.0,0.76,0.77
TOI-2992 b,TOI-2992,Transit,1,1726.0,1484.0,1726.0,0.089,0.084,6000.0,1.545,1.21
TOI-3023 b,TOI-3023,Transit,1,1596.0,1084.0,1596.0,0.0,0.085,5760.0,1.668,1.12
TOI-3071 b,TOI-3071,Transit,1,2155.0,,2155.0,0.09,0.35,6177.0,1.31,1.29
TOI-3082 b,TOI-3082,Transit,1,1032.78,,1032.78,,0.17,4263.0,0.6847,0.664
TOI-3135 b,TOI-3135,Transit,1,1292.0,464.0,1292.0,0.24,0.071,5890.0,0.985,1.044
TOI-3160 A b,TOI-3160 A,Transit,1,1539.0,933.0,1539.0,0.18,-0.114,6190.0,1.346,1.088
TOI-3235 b,TOI-3235,Transit,1,604.0,,604.0,0.029,0.264,3388.8,0.3697,0.3939
TOI-3261 b,TOI-3261,Transit,1,1722.0,1466.0,1722.0,0.0,0.138,5068.0,0.849,0.861
TOI-329 b,TOI-329,Transit,1,1213.02,,1213.02,0.39,0.205,5614.0,1.5326,1.0678
TOI-332 b,TOI-332,Transit,1,1871.0,,1871.0,0.0,0.256,5251.0,0.87,0.88
TOI-3321 b,TOI-3321,Transit,1,1616.0,,1616.0,0.054,-0.103,5850.0,1.549,1.041
TOI-3331 A b,TOI-3331 A,Transit,1,1488.0,818.5,1488.0,0.0,0.148,5609.0,0.952,1.016
TOI-3353.01,TOI-3353,Transit,1,1264.36,313.0426,1264.36,,,6365.0,1.0207,1.332089
TOI-3364 b,TOI-3364,Transit,1,1264.0,425.0,1264.0,0.0,0.387,5706.0,1.419,1.186
TOI-3464 b,TOI-3464,Transit,1,1693.0,1370.0,1693.0,0.25,0.045,6370.0,1.56,1.363
TOI-3474 b,TOI-3474,Transit,1,1451.0,740.0,1451.0,0.13,0.146,6020.0,1.256,1.121
TOI-3486 b,TOI-3486,Transit,1,1190.0,334.0,1190.0,0.078,0.283,4930.0,0.788,0.837
TOI-3493 b,TOI-3493,Transit,1,1102.0,245.0,1102.0,,0.03,5844.0,1.228,1.023
TOI-3523 A b,TOI-3523 A,Transit,1,1984.0,2590.0,1984.0,0.047,-0.366,6450.0,1.448,1.131
TOI-3540 A b,TOI-3540 A,Transit,1,1498.0,841.3,1498.0,0.0,0.176,5810.0,1.228,1.081
TOI-3568 b,TOI-3568,Transit,1,899.0,,899.0,0.035,-0.01,4969.0,0.719,0.78
TOI-3593 b,TOI-3593,Transit,1,1170.0,308.0,1170.0,0.105,0.384,5550.0,0.918,1.015
TOI-3629 b,TOI-3629,Transit,1,690.0,39.0,690.0,0.05,0.4,3870.0,0.6,0.63
TOI-3682 b,TOI-3682,Transit,1,1657.0,1258.0,1657.0,0.22,0.416,5703.0,1.735,1.32
TOI-3688 A b,TOI-3688 A,Transit,1,1534.0,924.3,1534.0,0.0,0.262,5950.0,1.302,1.199
TOI-3693 b,TOI-3693,Transit,1,801.0,68.6,801.0,0.0,0.071,5321.0,0.791,0.867
TOI-3714 b,TOI-3714,Transit,1,750.0,54.0,750.0,0.03,0.1,3660.0,0.51,0.53
TOI-3757 b,TOI-3757,Transit,1,759.0,55.4,759.0,0.14,0.0,3913.0,0.62,0.64
TOI-3785 b,TOI-3785,Transit,1,582.0,19.1,582.0,0.11,0.099,3576.0,0.5,0.52
TOI-3807 b,TOI-3807,Transit,1,1646.0,1230.0,1646.0,0.0,0.278,5772.0,1.468,1.181
TOI-3819 b,TOI-3819,Transit,1,1633.0,1186.0,1633.0,0.0,0.273,5859.0,1.538,1.242
TOI-3837 b,TOI-3837,Transit,1,1178.0,,1178.0,0.221,-0.26,5905.0,1.2,0.89
TOI-3856 b,TOI-3856,Transit,1,1544.0,949.0,1544.0,0.083,0.454,5622.0,1.055,1.096
TOI-3877 b,TOI-3877,Transit,1,1445.0,729.0,1445.0,0.22,0.269,5731.0,1.445,1.16
TOI-3884 b,TOI-3884,Transit,1,441.0,6.29,441.0,0.06,0.04,3180.0,0.302,0.298
TOI-3894 b,TOI-3894,Transit,1,1531.0,,1531.0,0.05,0.021,6000.0,1.502,1.138
TOI-3912 b,TOI-3912,Transit,1,1512.0,872.2,1512.0,0.0,0.187,5725.0,1.392,1.088
TOI-3919 b,TOI-3919,Transit,1,1198.0,,1198.0,0.259,0.175,6100.0,1.319,1.208
TOI-3976 A b,TOI-3976 A,Transit,1,1295.0,469.0,1295.0,0.0,0.182,5975.0,1.501,1.254
TOI-3980 b,TOI-3980,Transit,1,1621.0,1153.0,1621.0,0.16,0.188,5840.0,1.626,1.24
TOI-3984 A b,TOI-3984 A,Transit,1,563.0,16.7,563.0,0.23,0.18,3476.0,0.47,0.49
TOI-4010 b,TOI-4010,Transit,1,1441.0,714.0,1441.0,0.03,0.37,4960.0,0.83,0.88
TOI-4010 c,TOI-4010,Transit,1,907.0,112.0,907.0,0.03,0.37,4960.0,0.83,0.88
TOI-4010 d,TOI-4010,Transit,1,650.0,30.0,650.0,0.07,0.37,4960.0,0.83,0.88
TOI-4010 e,TOI-4010,Radial Velocity,1,174.0,0.15,174.0,0.26,0.37,4960.0,0.83,0.88
TOI-406 c,TOI-406,Transit,1,584.0,19.0,584.0,0.032,-0.02,3392.0,0.41,0.408
TOI-406.01,TOI-406,Transit,1,368.0,3.0,368.0,0.056,-0.02,3392.0,0.41,0.408
TOI-4087 b,TOI-4087,Transit,1,1458.0,753.9,1458.0,0.0,0.237,6060.0,1.112,1.178
TOI-411 b,HD 22946,Transit,1,1241.0,495.139,1241.0,,-0.08,6169.0,1.117,1.098
TOI-411 c,HD 22946,Transit,1,931.0,156.75,931.0,,-0.08,6169.0,1.117,1.098
TOI-4127 b,TOI-4127,Transit,1,605.1,22.3,605.1,0.7471,0.14,6096.0,1.293,1.23
TOI-4137 b,TOI-4137,Transit,1,1570.0,1013.0,1570.0,0.0,0.182,6202.0,1.438,1.313
TOI-4145 A b,TOI-4145 A,Transit,1,1074.0,223.0,1074.0,0.0,0.168,5281.0,0.859,0.905
TOI-4153 b,TOI-4153,Transit,1,1669.0,,1669.0,0.039,0.317,6860.0,1.605,1.572
TOI-4155 b,TOI-4155,Transit,1,1255.0,,1255.0,,0.11,5724.0,0.95,1.16
TOI-4184 b,TOI-4184,Transit,1,412.0,4.8,412.0,,-0.27,3238.0,0.2347,0.2109
TOI-4201 b,TOI-4201,Transit,1,725.0,45.2,725.0,0.041,0.52,3794.0,0.63,0.61
TOI-421 b,TOI-421,Transit,1,922.0,,922.0,0.13,-0.044,5291.0,0.866,0.833
TOI-421 c,TOI-421,Transit,1,635.0,,635.0,0.19,-0.044,5291.0,0.866,0.833
TOI-4214 b,TOI-4214,Transit,1,1642.0,1210.0,1642.0,0.17,0.294,6370.0,1.434,1.382
TOI-4308 b,TOI-4308,Transit,1,763.05,,763.05,,,5243.0,0.7934,0.9
TOI-431 b,TOI-431,Transit,1,1862.0,,1862.0,0.0,0.2,4850.0,0.731,0.78
TOI-431 c,TOI-431,Radial Velocity,1,867.0,,867.0,0.0,0.2,4850.0,0.731,0.78
TOI-431 d,TOI-431,Transit,1,633.0,,633.0,0.0,0.2,4850.0,0.731,0.78
TOI-4336 A b,TOI-4336 A,Transit,1,308.0,1.5,308.0,,-0.209,3298.0,0.328,0.331
TOI-4342 b,TOI-4342,Transit,1,633.6,26.9,633.6,,,3901.0,0.599,0.6296
TOI-4342 c,TOI-4342,Transit,1,508.9,11.18,508.9,,,3901.0,0.599,0.6296
TOI-4364 b,TOI-4364,Transit,1,488.0,,488.0,0.29,0.148,3528.0,0.4684,0.487
TOI-4406 b,TOI-4406,Transit,1,904.0,,904.0,0.15,0.1,6219.0,1.29,1.19
TOI-4438 b,TOI-4438,Transit,1,435.0,6.0,435.0,0.14,-0.19,3422.0,0.372,0.368
TOI-444 b,TOI-444,Transit,1,609.0,,609.0,,0.08,5225.0,0.779,0.96
TOI-4443.01,TOI-4443,Transit,1,1638.82,1194.2104,1638.82,,,5834.0,1.01733,1.049133
TOI-4463 A b,TOI-4463 A,Transit,1,1395.0,633.0,1395.0,0.0,0.25,5640.0,1.062,1.056
TOI-4465 b,TOI-4465,Transit,1,427.0,,427.0,0.24,-0.06,5545.0,1.014,0.93
TOI-4479 b,TOI-4479,Transit,1,861.0,92.5,861.0,,0.0,3400.0,0.451,0.452
TOI-4487 A b,TOI-4487 A,Transit,1,1639.0,1203.0,1639.0,0.083,0.216,6206.0,1.634,1.378
TOI-4495.01,TOI-4495,Transit,1,1382.67,346.626,1382.67,,,6156.0,1.34,1.168817
TOI-451 b,TOI-451,Transit,1,1491.0,,1491.0,0.0,,5550.0,0.879,0.95
TOI-451 c,TOI-451,Transit,1,875.0,,875.0,0.0,,5550.0,0.879,0.95
TOI-451 d,TOI-451,Transit,1,722.0,,722.0,0.0,,5550.0,0.879,0.95
TOI-4515 b,TOI-4515,Transit,1,705.0,,705.0,0.461,0.05,5433.0,0.86,0.949
TOI-4527.01,TOI-4527,Transit,1,1362.93,571.5072,1362.93,,,3702.0,0.485948,0.483901
TOI-4559 b,TOI-4559,Transit,1,554.16,15.77,554.16,,-0.09,3558.0,0.374,0.392
TOI-4600 b,TOI-4600,Transit,1,347.0,,347.0,0.25,0.16,5170.0,0.81,0.89
TOI-4600 c,TOI-4600,Transit,1,191.0,,191.0,0.21,0.16,5170.0,0.81,0.89
TOI-4602.01,TOI-4602,Transit,1,1380.27,603.6935,1380.27,,,6011.9,1.15664,1.116795
TOI-4603 b,TOI-4603,Transit,1,1677.0,1192.0,1677.0,0.325,0.342,6264.0,2.738,1.765
TOI-4633 c,TOI-4633,Transit,1,,1.56,311.2478420812829,0.117,,5800.0,1.05,1.1
TOI-4638.01,TOI-4638,Transit,1,,87.81,852.5329903019459,,,5700.0,0.895,1.02
TOI-470 b,TOI-470,Transit,1,660.0,,660.0,,0.1,5190.0,0.831,0.87
TOI-4734 b,TOI-4734,Transit,1,1468.0,775.0,1468.0,0.12,0.288,6070.0,1.857,1.391
TOI-4791 b,TOI-4791,Transit,1,1472.0,783.2,1472.0,0.0,0.207,6058.0,1.409,1.242
TOI-4794 b,TOI-4794,Transit,1,1673.0,1310.0,1673.0,0.1,-0.102,6390.0,1.451,1.25
TOI-480 b,TOI-480,Transit,1,1198.94,,1198.94,0.0,0.164,6174.0,1.4877,1.2793
TOI-481 b,TOI-481,Transit,1,1370.0,,1370.0,0.153,0.26,5735.0,1.66,1.14
TOI-4860 b,TOI-4860,Transit,1,694.0,42.5,694.0,0.008,0.27,3260.0,0.358,0.34
TOI-4914 b,TOI-4914,Transit,1,894.0,,894.0,0.408,-0.13,5805.0,1.0,1.03
TOI-4961 b,TOI-4961,Transit,1,919.0,115.0,919.0,0.182,0.206,5380.0,0.912,0.912
TOI-4994 b,TOI-4994,Transit,1,717.6,40.0,717.6,0.319,0.165,5640.0,1.055,1.005
TOI-500 b,TOI-500,Transit,1,1617.0,1138.0,1617.0,0.063,0.12,4440.0,0.678,0.74
TOI-5005 b,TOI-5005,Transit,1,1040.0,226.0,1040.0,,0.15,5749.0,0.93,0.97
TOI-5027 b,TOI-5027,Transit,1,1056.0,,1056.0,0.385,-0.15,5909.0,0.92,1.02
TOI-5076 b,TOI-5076,Transit,1,550.0,,550.0,0.0,0.082,4780.0,0.844,0.789
TOI-5082.01,TOI-5082,Transit,1,1164.91,254.588,1164.91,,,5670.0,0.93,0.99665
TOI-5108 b,TOI-5108,Transit,1,1180.0,,1180.0,,0.2,5808.0,1.29,1.1
TOI-5110 b,TOI-5110,Transit,1,976.0,,976.0,0.745,0.065,6160.0,2.333,1.469
TOI-512 b,TOI-512,Transit,1,1009.0,127.0,1009.0,0.02,-0.11,5277.0,0.89,0.74
TOI-5126 b,TOI-5126,Transit,1,1442.0,467.0,1442.0,0.0,0.18,6150.0,1.241,1.24
TOI-5126 c,TOI-5126,Transit,1,971.0,96.0,971.0,0.0,0.18,6150.0,1.241,1.24
TOI-5153 b,TOI-5153,Transit,1,906.0,,906.0,0.091,0.12,6300.0,1.4,1.24
TOI-5181 A b,TOI-5181 A,Transit,1,1585.0,1053.0,1585.0,0.15,0.208,6060.0,1.53,1.25
TOI-519 b,TOI-519,Transit,1,687.0,,687.0,0.33,0.27,3322.0,0.35,0.335
TOI-5205 b,TOI-5205,Transit,1,737.0,49.0,737.0,0.02,0.0,3430.0,0.394,0.392
TOI-5210 b,TOI-5210,Transit,1,1286.0,456.0,1286.0,0.066,0.324,5723.0,1.209,1.105
TOI-5218 b,TOI-5218,Transit,1,783.0,62.0,783.0,0.0,0.41,4230.0,0.708,0.739
TOI-5232 b,TOI-5232,Transit,1,1772.0,,1772.0,0.035,-0.104,6500.0,1.785,1.389
TOI-5293 A b,TOI-5293 A,Transit,1,675.0,34.6,675.0,0.38,-0.03,3586.0,0.52,0.54
TOI-530 b,TOI-530,Transit,1,565.0,,565.0,0.0,0.376,3659.0,0.54,0.53
TOI-5300 b,TOI-5300,Transit,1,1043.0,198.0,1043.0,0.0,-0.17,4610.0,0.65,0.67
TOI-5301 b,TOI-5301,Transit,1,1648.0,,1648.0,0.33,0.03,6240.0,2.19,1.483
TOI-5319 b,TOI-5319,Transit,1,695.0,,695.0,,,3580.0,0.485,0.5
TOI-532 b,TOI-532,Transit,1,867.0,94.1,867.0,0.0,0.338,3927.0,0.612,0.639
TOI-5322 b,TOI-5322,Transit,1,1350.0,554.0,1350.0,0.055,-0.048,5692.0,1.462,0.998
TOI-5340 b,TOI-5340,Transit,1,1566.0,1004.0,1566.0,0.13,0.208,5990.0,1.842,1.35
TOI-5344 b,TOI-5344,Transit,1,689.0,38.0,689.0,0.054,0.425,3747.0,0.588,0.612
TOI-5386 A b,TOI-5386 A,Transit,1,1488.0,817.0,1488.0,0.072,0.182,6094.0,1.245,1.165
TOI-5388.01,TOI-5388,Transit,1,601.35,3.3023,601.35,,,3495.0,0.31,0.28572
TOI-5398 b,TOI-5398,Transit,1,947.0,,947.0,0.13,0.09,6000.0,1.051,1.146
TOI-5398 c,TOI-5398,Transit,1,1242.0,,1242.0,0.14,0.09,6000.0,1.051,1.146
TOI-540 b,TOI-540,Transit,1,611.0,23.4,611.0,0.0,,3216.0,0.1895,0.159
TOI-544 b,TOI-544,Transit,1,999.0,,999.0,0.0,-0.17,4169.0,0.623,0.631
TOI-5542 b,TOI-5542,Transit,1,441.0,9.6,441.0,0.018,-0.21,5700.0,1.058,0.89
TOI-5573 b,TOI-5573,Transit,1,528.0,12.92,528.0,0.072,0.42,3790.0,0.594,0.619
TOI-558 b,TOI-558,Transit,1,1061.0,,1061.0,0.298,-0.004,6466.0,1.496,1.349
TOI-559 b,TOI-559,Transit,1,1180.0,,1180.0,0.151,-0.069,5925.0,1.233,1.026
TOI-5592 b,TOI-5592,Transit,1,1789.0,1712.0,1789.0,0.062,-0.013,6237.0,1.393,1.194
TOI-561 b,TOI-561,Transit,1,2319.0,4709.0,2319.0,0.0,,,0.843,0.806
TOI-561 c,TOI-561,Transit,1,802.0,67.5,802.0,0.023,,,0.843,0.806
TOI-561 d,TOI-561,Transit,1,600.0,21.2,600.0,0.111,,,0.843,0.806
TOI-561 e,TOI-561,Transit,1,416.0,4.89,416.0,0.074,,,0.843,0.806
TOI-5616 b,TOI-5616,Transit,1,939.0,137.0,939.0,0.0,0.14,3996.0,0.646,0.666
TOI-5634 A b,TOI-5634 A,Transit,1,837.0,77.0,837.0,0.0,-0.27,3896.0,0.54,0.556
TOI-564 b,TOI-564,Transit,1,1714.0,1423.0,1714.0,0.072,0.143,5640.0,1.088,0.998
TOI-5678 b,TOI-5678,Transit,1,513.0,,513.0,0.14,0.0,5485.0,0.938,0.905
TOI-5688 A b,TOI-5688 A,Transit,1,742.0,50.3,742.0,0.128,0.47,3713.0,0.57,0.6
TOI-5704 b,TOI-5704,Transit,1,949.07,,949.07,,0.428,4590.0,0.7575,0.73
TOI-5713 b,TOI-5713,Transit,1,347.2,2.2554,347.2,0.24,-0.03,3225.0,0.2992,0.2653
TOI-5720 b,TOI-5720,Transit,1,708.0,41.7,708.0,,0.03,3325.0,0.383,0.383
TOI-5726.01,TOI-5726,Transit,1,,338.95,1194.975796680419,,,5874.0,1.106,1.06
TOI-5786 b,TOI-5786,Transit,1,1040.0,,1040.0,,0.08,6235.0,1.36,1.23
TOI-5795 b,TOI-5795,Transit,1,1136.78,,1136.78,0.25,-0.27,5715.0,1.082,0.901
TOI-5799 b,TOI-5799,Transit,1,,13.35,532.3478641193506,,,3521.0,0.343,0.327
TOI-5800 b,TOI-5800,Transit,1,1108.0,,1108.0,0.3,-0.04,4850.0,0.773,0.778
TOI-5803 b,TOI-5803,Transit,1,678.87,,678.87,,,5134.0,0.7625,0.87
TOI-5817 b,TOI-5817,Transit,1,950.0,,950.0,0.2,-0.24,5770.0,1.427,0.97
TOI-5882 b,TOI-5882,Transit,1,1515.0,,1515.0,0.0339,0.18,5920.0,2.26,1.334
TOI-6000 b,TOI-6000,Transit,1,1120.0,,1120.0,,,3419.0,0.38,0.37
TOI-6002 b,TOI-6002,Transit,1,321.4,1.6823,321.4,0.15,-0.18,3229.0,0.2432,0.2101
TOI-6008 b,TOI-6008,Transit,1,707.0,41.5,707.0,,0.3,3075.0,0.242,0.23
TOI-6016 b,TOI-6016,Transit,1,1890.0,940.0,1890.0,0.0,0.28,6110.0,1.51,1.31
TOI-6034 b,TOI-6034,Transit,1,714.0,43.0,714.0,0.04,-0.09,3635.0,0.489,0.514
TOI-6038 A b,TOI-6038 A,Transit,1,1439.0,716.0,1439.0,,0.124,6110.0,1.648,1.291
TOI-6054.01,TOI-6054,Transit,1,,529.21,1335.7716134873024,,,6112.0,1.612,1.15
TOI-6054.02,TOI-6054,Transit,1,,265.34,1124.0247670912106,,,6112.0,1.612,1.15
TOI-6086 b,TOI-6086,Transit,1,634.0,26.8,634.0,,0.11,3200.0,0.259,0.254
TOI-6130 b,TOI-6130,Transit,1,1750.0,1150.0,1750.0,0.036,0.28,6110.0,1.51,1.31
TOI-615 b,TOI-615,Transit,1,1666.0,1286.0,1666.0,0.39,-0.1,6850.0,1.732,1.449
TOI-620 b,TOI-620,Transit,1,603.6,20.8,603.6,0.22,0.35,3708.0,0.55,0.577
TOI-622 b,TOI-622,Transit,1,1388.0,602.0,1388.0,0.42,0.09,6400.0,1.415,1.313
TOI-628 b,TOI-628,Transit,1,1586.0,,1586.0,0.072,0.258,6250.0,1.345,1.311
TOI-6324 b,TOI-6324,Transit,1,1216.0,,1216.0,0.0,-0.32,3247.0,0.293,0.269
TOI-6383 A b,TOI-6383 A,Transit,1,745.0,51.3,745.0,0.05,,3444.0,0.457,0.458
TOI-640 b,TOI-640,Transit,1,1816.0,,1816.0,0.013,0.072,6460.0,2.082,1.536
TOI-6478 b,TOI-6478,Transit,1,204.4,,204.4,,-0.53,3230.0,0.234,0.23
TOI-654.01,TOI-654,Transit,1,794.0,65.0,794.0,0.0,0.12,3521.0,0.43,0.419
TOI-6628 b,TOI-6628,Transit,1,833.0,,833.0,0.67,0.36,5463.0,1.01,0.97
TOI-663 b,TOI-663,Transit,1,674.0,49.1,674.0,,0.07,3681.0,0.512,0.514
TOI-663 c,TOI-663,Transit,1,553.0,22.3,553.0,,0.07,3681.0,0.512,0.514
TOI-663 d,TOI-663,Transit,1,482.0,12.9,482.0,,0.07,3681.0,0.512,0.514
TOI-6651 b,TOI-6651,Transit,1,1493.0,817.0,1493.0,0.091,0.225,5940.0,1.721,1.323
TOI-669 b,TOI-669,Transit,1,1124.85,,1124.85,0.0,0.001,5597.0,0.9882,0.9245
TOI-6695 b,TOI-6695,Transit,1,599.0,,599.0,0.04,0.2,6400.0,1.517,1.338
TOI-6695 c,TOI-6695,Radial Velocity,1,415.0,,415.0,0.022,0.2,6400.0,1.517,1.338
TOI-672 b,TOI-672,Transit,1,676.15,,676.15,,-0.71,3765.0,0.5441,0.5399
TOI-674 b,TOI-674,Transit,1,635.0,38.4,635.0,0.0,0.17,3514.0,0.42,0.42
TOI-6894 b,TOI-6894,Transit,1,417.9,5.54,417.9,0.029,0.142,3007.0,0.2276,0.207
TOI-700 b,TOI-700,Transit,1,,4.98,416.0375547909748,0.075,-0.07,3459.0,0.421,0.415
TOI-700 c,TOI-700,Transit,1,,2.64,354.99822471386403,0.068,-0.07,3459.0,0.421,0.415
TOI-700 d,TOI-700,Transit,1,,0.85,267.4114081490663,0.042,-0.07,3459.0,0.421,0.415
TOI-700 e,TOI-700,Transit,1,,1.27,295.6488062321987,0.059,-0.07,3459.0,0.421,0.415
TOI-712 b,TOI-712,Transit,1,650.0,22.6,650.0,0.54,-0.02,4622.0,0.674,0.732
TOI-712 c,TOI-712,Transit,1,369.9,3.08,369.9,0.089,-0.02,4622.0,0.674,0.732
TOI-712 d,TOI-712,Transit,1,313.6,1.6,313.6,0.073,-0.02,4622.0,0.674,0.732
TOI-7149 b,TOI-7149,Transit,1,593.0,20.6,593.0,0.078,-0.08,3363.0,0.351,0.344
TOI-715 b,TOI-715,Transit,1,234.0,0.67,234.0,,-0.25,3075.0,0.24,0.225
TOI-733 b,TOI-733,Transit,1,1055.8,207.1,1055.8,0.046,-0.04,5585.0,0.949,0.956
TOI-757 b,TOI-757,Transit,1,641.0,,641.0,0.39,-0.27,5278.0,0.78,0.8
TOI-762 A b,TOI-762 A,Transit,1,555.4,,555.4,0.083,0.357,3266.0,0.425,0.442
TOI-763 b,TOI-763,Transit,1,1038.0,,1038.0,0.04,0.01,5450.0,0.897,0.917
TOI-763 c,TOI-763,Transit,1,800.0,,800.0,0.04,0.01,5450.0,0.897,0.917
TOI-771 b,TOI-771,Transit,1,543.0,14.0,543.0,0.055,-0.13,3370.0,0.232,0.22
TOI-771 c,TOI-771,Radial Velocity,1,365.0,3.0,365.0,0.065,-0.13,3370.0,0.232,0.22
TOI-776 b,TOI-776,Transit,1,520.0,,520.0,0.052,-0.21,3725.0,0.547,0.542
TOI-776 c,TOI-776,Transit,1,420.0,,420.0,0.089,-0.21,3725.0,0.547,0.542
TOI-778 b,TOI-778,Transit,1,1561.0,,1561.0,0.21,0.0,6643.0,1.71,1.4
TOI-782 b,TOI-782,Transit,1,435.0,5.91,435.0,0.19,0.34,3370.0,0.413,0.397
TOI-813 b,TOI-813,Transit,1,610.0,23.1,610.0,0.0,0.1,5907.0,1.94,1.32
TOI-815 b,TOI-815,Transit,1,686.0,36.9,686.0,0.2,-0.09,4869.0,0.77,0.776
TOI-815 c,TOI-815,Transit,1,469.0,8.03,469.0,0.22,-0.09,4869.0,0.77,0.776
TOI-824 b,TOI-824,Transit,1,1253.0,412.0,1253.0,,-0.092,4600.0,0.695,0.71
TOI-833 b,TOI-833,Transit,1,1118.0,,1118.0,,,3920.0,0.6,0.61
TOI-836 b,TOI-836,Transit,1,871.0,78.838,871.0,0.053,-0.284,4552.0,0.665,0.678
TOI-836 c,TOI-836,Transit,1,665.0,26.707,665.0,0.078,-0.284,4552.0,0.665,0.678
TOI-837 b,TOI-837,Transit,1,995.3,164.0,995.3,,0.01,5995.0,1.052,1.142
TOI-858 B b,TOI-858 B,Transit,1,1529.0,908.9,1529.0,0.15,0.153,5842.0,1.308,1.081
TOI-871 b,TOI-871,Transit,1,621.0,24.78,621.0,,-0.07,4929.0,0.719,0.758
TOI-880 c,TOI-880,Transit,1,805.0,,805.0,,0.23,5050.0,0.83,0.87
