"pl_name","pl_eqt","v_esc_kms","density_gcc","WRS"
"Kepler-103 c",434,29.57,1.29,0.3812
"GJ 9827 c",715.94,14.37,7.11,0.3799
"TOI-4600 c",191,198.07,19.44,0.3789
"TOI-1823 b",423.63,33.48,0.87,0.3777
"K2-136 c",470,27.51,3.7,0.3776
"TOI-2447 b",414,40.39,0.78,0.3774
"Kepler-102 e",590,16.48,2.54,0.377
"LP 890-9 b",396,35.42,31.65,0.377
"TOI-1776 b",1269.21,12.02,4.29,0.3754
"TOI-2076 d",457.68,32.56,3.96,0.3753
"HD 23472 b",543,22.84,5.73,0.3728
"HD 23472 d",909,9.59,7.19,0.3721
"TOI-500 b",1617,12.36,4.94,0.372
"TOI-2015 b",530.9,18.68,1.4,0.3716
"K2-266 e",490.1,25.63,3.88,0.3703
"GJ 3090 b",693,14.02,1.91,0.3697
"TOI-1260 d",499,21.82,2.15,0.3693
"K2-415 b",412.4,30.44,39.55,0.3668
"TOI-1468 b",683.5,16.5,6.1,0.3663
"Kepler-409 b",438,25.05,19.19,0.3651
"TOI-269 b",531,19.96,2.28,0.3629
"K2-233 d",525,23.38,4.3,0.3621
"GJ 806 b",940,13.38,4.44,0.3616
"CoRoT-9 b",420,52.94,0.86,0.361
"K2-266 d",538.3,19.52,1.95,0.3588
"GJ 414 A c",124.7,28.35,0.5,0.3573
"HD 219134 d",410.5,35.49,21.36,0.3571
"TOI-815 c",469,33.54,7.2,0.3566
"TOI-1453 c",819.8,12.9,1.48,0.3553
"Kepler-78 b",2223,13.25,5.35,0.3537
"Kepler-37 c",615,14.7,16.66,0.3532
"NGTS-11 b",435,38.7,0.78,0.3505
"TOI-1749 d",533,27.33,5.17,0.3453
"Kepler-68 c",1052,12.91,7.64,0.344
"K2-285 e",500.9,26.24,7.96,0.3424
"GJ 486 b",696.3,16.42,7.13,0.3418
"TOI-663 b",674,15.68,2.1,0.3412
"K2-157 b",2432,12.37,7.69,0.3403
"GJ 1214 b",567,19.65,2.27,0.338
"Kepler-167 e",134.4,62.95,1.69,0.3373
"TOI-5542 b",441,68.21,1.6,0.3372
"GJ 367 b",1365,10.66,10.22,0.3366
"LTT 3780 b",903,15.26,5.83,0.3363
"TOI-5678 b",513,22.6,0.93,0.3353
"HD 191939 c",600,17.72,1.35,0.3346
"K2-25 b",494,29.89,3.32,0.334
"WD 1856+534 b",163,230.01,21.5,0.3334
"TOI-1411 b",976.4,14.47,6.4,0.3319
"TOI-1824 b",528.67,27.05,4.27,0.3316
"HIP 9618 b",640.88,16.49,0.82,0.3282
"Ross 176 b",682,17.65,4.05,0.3281
"K2-285 d",619.9,18.13,2.35,0.3265
"PH1 b",481,58.57,3.95,0.3226
"TOI-561 b",2319,13.47,4.09,0.3206
"Kepler-10 c",579,24.52,4.77,0.319
"TOI-3785 b",582,19.1,0.61,0.3183
"HD 3167 c",564,21.57,2.27,0.3167
"TOI-544 b",999,13.4,1.94,0.3158
"K2-233 b",1127,15.13,5.82,0.3158
"HD 110067 d",602,19.36,2.03,0.3151
"K2-32 e",1066,14.74,6.5,0.3142
"K2-32 c",634,18.01,1.45,0.3106
"Kepler-38 b",475,59.66,8.46,0.308
"GJ 3470 b",593.5,19.53,0.8,0.3061
"TOI-1695 b",698,20.49,5.11,0.3017
"TOI-1685 b",1062,16.09,5.28,0.3016
"TOI-5076 b",550,24.09,2.1,0.3015
"TOI-1807 b",1694.1,14.3,4.01,0.2983
"Kepler-102 f",495,25.03,37.15,0.2945
"TOI-2128 b",780.53,16.44,2.72,0.2942
"TOI-1221 b",440,218.98,248.91,0.2937
"TOI-421 c",635,18.64,0.59,0.2922
"HD 207897 b",581.75,28.15,6.34,0.292
"TOI-2076 c",543.16,43.21,6.01,0.2915
"TOI-1696 b",489,44.51,9.12,0.2907
"TOI-512 b",1009,17.05,5.39,0.2906
"TOI-431 d",633,19.43,1.53,0.2904
"HD 110067 c",699,18.19,2.55,0.2889
"TOI-1201 b",703,18.06,2.46,0.2882
"HD 93963 A b",1842.23,15.46,4.86,0.2875
"TOI-815 b",686,18.01,1.65,0.287
"Kepler-62 d",510,30.01,10.41,0.2868
"Kepler-87 b",478,54.91,0.73,0.2864
"TOI-561 d",600,25.29,4.11,0.2861
"KOI-1833 d",613,23.15,3.54,0.2855
"K2-416 b",447,279.17,484.19,0.2847
"TOI-238 c",696,19.63,3.57,0.2834
"CoRoT-24 b",1070,13.9,0.62,0.2831
"HD 63433 c",622.31,28.91,5.51,0.2818
"TOI-836 b",871,18.26,5.05,0.2816
"WISEP J121756.91+162640.2 A b",450,289.46,33.61,0.2811
"HD 63935 c",619.59,21.32,2.13,0.2808
"TOI-1453 b",944.2,15.75,7.93,0.28
"TOI-561 c",802,16.11,1.39,0.2795
"TOI-178 c",873,18.93,5.66,0.2783
"TOI-1238 c",695,22.24,4.88,0.2781
"Wolf 327 b",996,16,7.32,0.2779
"Kepler-10 b",2188,16.63,5.62,0.2754
"L 168-9 b",998,17.7,5.18,0.2753
"TOI-757 b",641,22.95,3.71,0.2741
"HD 136352 b",905,18.86,5.65,0.2739
"HD 207496 b",743,18.44,2.95,0.2739
"Kepler-102 d",686,18.06,10.76,0.2738
"HD 219134 c",782,19.03,6.97,0.2705
"TOI-2134 b",666,20.63,2.59,0.2698
"NGTS-30 b",500,60.66,1.49,0.2693
"HIP 8152 c",650.68,23.06,3.67,0.2675
"K2-110 b",638,27.74,5.03,0.2674
"HD 42813 b",716,18.3,1.27,0.2662
"TOI-836 c",665,21.58,3.06,0.2658
"KOI-1257 b",511,74.06,2.17,0.2651
"HD 219134 f",522.6,26.44,17.91,0.2645
"HD 110067 b",800,18.01,2.95,0.2636
"TOI-1470 b",734,20.52,3.9,0.2629
"TOI-1416 b",1517,16.42,4.51,0.262
"HD 21520 b",637,28.69,4.98,0.2618
"HR 858 b",1552,14.91,2.43,0.2608
"Wolf 503 b",789,19.62,4.05,0.2602
"HD 22946 d",546,35.76,8.27,0.2602
"TOI-3984 A b",563,26.43,0.49,0.2592
"TOI-1710 b",602.99,23.24,0.88,0.2589
"TOI-1742 b",694.09,22.68,4.04,0.2573
"HD 97658 b",751,22.16,4.8,0.2564
"Kepler-107 b",1592,17.62,5.78,0.2552
"EPIC 249893012 d",752,18,0.92,0.2551
"HR 858 c",1309,15.52,2.7,0.2545
"TOI-125 d",638.1,24.13,2.98,0.2542
"TOI-125 c",827.8,17.36,1.74,0.253
"TOI-1260 c",651,24.49,3.46,0.2517
"Kepler-454 b",916,16.91,2.24,0.2498
"KOI-94 e",584,25.87,0.68,0.2492
"TOI-5573 b",528,37.96,0.67,0.249
"EPIC 220674823 c",804,17.98,1.76,0.2485
"HD 136352 c",677,21.99,2.5,0.2482
"Kepler-19 b",851,18.61,3.12,0.2445
"TOI-1422 b",867,16.88,0.8,0.2443
"K2-12 b",1026,16.35,1.97,0.2438
"Kepler-1655 b",938,17.5,2.75,0.2424
"HD 73583 b",714,21.41,2.59,0.24
"Kepler-109 b",1276,15.71,1.75,0.2399
"K2-36 c",854,17.6,1.33,0.2389
"HD 219134 b",1015,19.27,6.36,0.2375
"TOI-1751 b",651.64,28.79,4.18,0.2373
"TOI-1420 b",957,16.27,0.08,0.236
"TOI-674 b",635,23.75,0.9,0.2357
"TOI-762 A b",555.4,34.64,0.76,0.2338
"K2-199 c",694,23.36,2.95,0.2336
"TOI-1443 b",520.66,40.42,13.53,0.2334
"HD 110113 b",1371,16.69,2.91,0.232
"HIP 116454 b",753.2,22.2,3.55,0.2318
"Kepler-37 b",718,17.89,146.5,0.2312
"TOI-421 b",922,17.84,2.01,0.2297
"TOI-1803 b",747,20.81,2.13,0.2295
"TOI-654.01",794,21.43,3.57,0.2281
"TOI-1249 b",726.89,21.36,1.87,0.2273
"TOI-1444 b",2130.02,17.8,6.92,0.2265
"TOI-1451 b",723.33,27.02,4.71,0.2258
"K2-111 b",1309,19.61,5.1,0.2258
"HIP 29442 c",1123,19.08,6.65,0.2256
"HD 3167 b",1774,19.32,5.88,0.2251
"TOI-733 b",1055.8,18.98,3.99,0.2248
"HIP 8152 b",794.96,20.98,3.01,0.2244
"CoRoT-22 b",885,17.71,0.58,0.2244
"K2-79 b",1022,16.8,0.74,0.2235
"TOI-2379 b",624,139.95,6.26,0.2219
"TIC 4672985 b",517.2,210.16,14.68,0.2215
"TOI-1279 b",759,22.35,3.1,0.2214
"WASP-132 c",1329,20.65,5.53,0.2211
"EPIC 229004835 b",804,23.65,4.52,0.221
"K2-136 b",610,23.06,22.74,0.2207
"TOI-763 c",800,21.08,2.82,0.2193
"TOI-1269 b",1004.9,18.28,2.55,0.2183
"Kepler-109 c",859,19.7,2.43,0.2178
"TOI-2589 b",592,107.36,3.46,0.2177
"CoRoT-10 b",600,100.43,3.75,0.2173
"TOI-6695 b",599,29.64,0.43,0.2166
"TOI-431 b",1862,17.35,8.07,0.2162
"TOI-530 b",565,41.4,0.87,0.2158
"K2-32 b",837,18.84,0.56,0.2157
"HR 858 d",1061,21.1,4.89,0.2146
"K2-180 b",797.5,24.09,4.2,0.2126
"TOI-1246 b",955,18.37,1.64,0.2123
"K2-222 b",871,21.55,3.7,0.2112
"TOI-1260 b",871,21.11,3.37,0.211
"K2-38 c",949,19.31,2.64,0.2109
"HD 191939 b",880,19.18,1.39,0.2095
"TOI-1386 b",615.03,30.4,1.05,0.2088
"HIP 29442 d",920,20.47,7.79,0.2079
"TOI-1246 c",862.49,21.58,3.41,0.2079
"GJ 9827 b",1035.01,19.31,7.9,0.2077
"TOI-1794 b",992.91,18.19,1.34,0.2076
"TOI-1064 b",784,25.59,4.3,0.207
"TOI-1749 c",673,28.78,8.1,0.2064
"HD 5278 b",943,19.98,2.92,0.2063
"HATS-71 b",586.8,35.85,0.43,0.2054
"TOI-2141 b",722,31.42,4.66,0.2051
"HD 63935 b",825.22,21.25,2.34,0.2048
"HIP 97166 b",701.66,31.08,6.9,0.2035
"Kepler-102 b",857,17.32,62.31,0.2016
"K2-285 c",741.4,23.6,1.97,0.201
"Kepler-46 b",543,162.52,14.15,0.2006
"Kepler-103 b",973,18.78,1.28,0.2002
"TOI-4010 d",650,27.83,0.89,0.1999
"TOI-1173 b",868,19.34,0.19,0.1993
"Kepler-20 c",828,21.93,2.53,0.199
"TOI-411 c",931,22.89,4.25,0.1973
"TOI-969 b",941,20.32,2.37,0.1951
"K2-199 b",913,22.37,7.35,0.1949
"Kepler-62 c",578,30.48,140.07,0.1936
"TOI-286 b",979,20,8.72,0.1932
"TOI-4127 b",605.1,86.4,2.17,0.1917
"Kepler-93 b",1133,19.89,7.96,0.1916
"TOI-3493 b",1102,18.69,1.48,0.1915
"Kepler-323 b",1838,18.82,8.16,0.1908
"HD 86226 c",1311,20.52,3.97,0.1907
"TOI-7149 b",593,46.14,0.54,0.1892
"TOI-220 b",805,23.9,2.74,0.1889
"Kepler-102 c",777,19.39,51.42,0.1884
"K2-36 b",1328,19.42,8.11,0.188
"TOI-763 b",1038,23.21,4.55,0.1879
"HD 73344 b",911,21.35,2.41,0.1878
"TOI-5817 b",950,20.48,1.94,0.1868
"TOI-1062 b",1077,23.71,4.82,0.1857
"TOI-1472 b",811.14,22.31,1.26,0.1854
"TOI-6008 b",707,22.07,20.18,0.1837
"TOI-5720 b",708,22.25,18.31,0.1835
"TOI-3235 b",604,48.23,0.79,0.183
"K2-233 c",794,21.3,12.32,0.1822
"HD 106315 c",886,20.94,1.02,0.182
"HD 183579 b",752,27.08,2.65,0.1808
"Kepler-68 b",1275,20.67,3.38,0.1801
