"pl_name","pl_eqt","v_esc_kms","density_gcc","WRS"
"TOI-2583 A b",1456,26.25,0.14,0.0908
"TOI-3682 b",1657,26.06,0.18,0.0904
"LTT 9779 b",1978,27.91,1.54,0.0902
"HATS-5 b",1025,30.4,0.39,0.0901
"TOI-5616 b",939,85.21,2.75,0.0899
"WASP-39 b",1166,27.95,0.17,0.0895
"TOI-4734 b",1468,26.62,0.26,0.0892
"K2-261 b",1036,30.55,0.48,0.0892
"Kepler-427 b",1100,28.96,0.19,0.0887
"TOI-2567 b",1352,27.08,0.27,0.0885
"TOI-1268 b",918.9,36.45,0.71,0.0884
"TOI-2587 A b",1445,26.83,0.22,0.0879
"HATS-76 b",939.8,93.09,2.6,0.0878
"TOI-5110 b",976,98.23,2.95,0.0878
"TOI-558 b",1061,108.74,3.51,0.0876
"TOI-954 b",1526,26.95,0.35,0.0872
"TOI-628 b",1586,145.74,6.61,0.0868
"TOI-1273 b",1211,28.24,0.28,0.0868
"Kepler-425 b",1070,30.15,0.33,0.0867
"TOI-1347 b",1400,27.81,10.49,0.0854
"TOI-329 b",1213.02,32.03,1.85,0.0853
"TOI-2025 b",1166,109.86,3.75,0.0846
"WASP-20 b",1379,27.51,0.12,0.0845
"WASP-18 b",2429,171.05,6.66,0.0842
"HATS-74 A b",895.1,70.94,1.65,0.0841
"NGTS-26 b",1331,27.97,0.16,0.0833
"TOI-1288 b",1203.44,33.37,1.98,0.0831
"WASP-160 B b",1119,30.12,0.27,0.0828
"TOI-5786 b",1040,32.75,0.65,0.0825
"TOI-1294 b",1392.74,28.14,0.34,0.0824
"TOI-3919 b",1198,112.06,3.64,0.0812
"TOI-2989 b",1001,97.61,2.66,0.0809
"HD 135344 A b",1585,156.62,4.08,0.0806
"Qatar-5 b",1415,117.81,3.96,0.0805
"TOI-4961 b",919,76.26,1.68,0.0803
"KELT-24 b",1391,119.99,3.92,0.0801
"Qatar-3 b",1681,118.27,4.07,0.0798
"NGTS-13 b",1605,122.78,4.04,0.0798
"HAT-P-51 b",1168.2,30.1,0.22,0.0797
"TOI-2364 b",1091,32.28,0.62,0.0796
"WASP-181 b",1186,29.97,0.22,0.0794
"TOI-4914 b",894,47.04,0.59,0.0793
"TOI-172 b",1198,141.34,7.51,0.0792
"Kepler-434 b",1000,94.86,2.46,0.0785
"TOI-1842 b",1199.55,30.14,0.26,0.0784
"TOI-5027 b",1056,86.51,2.84,0.0782
"HR 8799 e",1150,174.36,7.77,0.0775
"TOI-2000 c",1038,35.48,0.84,0.0772
"HAT-P-44 b",1108,31.75,0.23,0.0772
"KOI-94 b",1486,27.75,11.58,0.0768
"WASP-174 b",1528,28.58,0.14,0.0768
"WASP-83 b",1120,32.03,0.33,0.0762
"TOI-1296 b",1414.84,29.1,0.19,0.0762
"TOI-1259 A b",963,39.18,0.51,0.0759
"TOI-2641 b",1387,29.16,0.11,0.0759
"CoRoT-25 b",1330,29.81,0.27,0.0754
"HAT-P-38 b",1082,33.93,0.59,0.0753
"CoRoT-6 b",1017,95.03,2.32,0.075
"WASP-147 b",1404,29.62,0.25,0.0745
"TIC 237913194 b",974,78.64,1.73,0.0732
"TOI-837 b",995.3,40.6,0.86,0.0731
"CoRoT-14 b",1952,157.46,7.3,0.0728
"TOI-5210 b",1286,30.97,0.37,0.0727
"Kepler-12 b",1480,29.6,0.1,0.0723
"TOI-1199 b",1486,30.1,0.36,0.072
"TOI-6651 b",1493,38.77,2.55,0.0713
"K2-232 b",1030,37.62,0.5,0.0709
"TOI-2796 b",1205,31.88,0.15,0.0708
"TOI-1811 b",962.2,58.98,1.23,0.0708
"Kepler-101 b",1513,33.33,1.47,0.0703
"WASP-53 b",1053,84.03,2.14,0.0696
"WASP-153 b",1700,29.92,0.13,0.0694
"TOI-4145 A b",1074,35.9,0.32,0.069
"HIP 65426 b",1500,146.09,3.32,0.0686
"EPIC 246851721 b",1401,100.76,3.22,0.0686
"Kepler-45 b",1000,43.26,0.71,0.0684
"WASP-177 b",1142,33.82,0.16,0.0682
"TOI-615 b",1666,30.23,0.11,0.0681
"WASP-183 b",1111,34.85,0.2,0.0678
"WASP-10 b",1370,101.85,3.11,0.0676
"WASP-168 b",1340,31.56,0.15,0.0675
"Kepler-411 b",1138,36.57,10.2,0.0674
"K2-140 b",962,52.29,0.65,0.0673
"Kepler-107 c",1378,28.03,13.54,0.0673
"WASP-154 b",994,48.16,0.88,0.0671
"TOI-3486 b",1190,34.3,0.46,0.0668
"WASP-42 b",1021,40.87,0.46,0.0668
"KOI-13 b",2550,147.75,3.34,0.0664
"TOI-2485 b",1134,89,2.36,0.0664
"TOI-2368 b",1000,48.9,0.89,0.0662
"GPX-1 b",2300,218.33,7.72,0.0658
"WASP-84 c",1329,31.27,11.3,0.0658
"Kepler-7 b",1630,31.1,0.13,0.0651
"Qatar-6 b",1006,47.3,0.69,0.0647
"Kepler-426 b",1300,33.31,0.33,0.0644
"Qatar-8 b",1457,32.05,0.22,0.0642
"HAT-P-58 b",1622,31.52,0.2,0.0641
"TOI-3593 b",1170,80.21,2.32,0.064
"NGTS-9 b",1448,98.18,2.95,0.0639
"BD+60 1417 b",1303,201.81,8.3,0.0637
"TOI-5300 b",1043,49.25,1.1,0.0636
"HATS-61 b",1226.1,100.6,2.48,0.0633
"TOI-3877 b",1445,32.74,0.35,0.0631
"CoRoT-23 b",1660,97.39,3.01,0.0627
"HAT-P-68 b",1027.8,49.01,0.73,0.0619
"TOI-5301 b",1648,106.43,2.91,0.0613
"TOI-6038 A b",1439,39.19,1.64,0.0609
"TOI-1298 b",1278,35.86,0.61,0.0609
"WASP-158 b",1590,96.3,2.83,0.0608
"CoRoT-17 b",1626,92.06,2.85,0.0608
"TOI-3071 b",2155,34.57,1.02,0.0605
"HATS-57 b",1413.4,99.13,2.65,0.0604
"WASP-129 b",1100,61.84,1.55,0.0603
"WASP-172 b",1740,32.63,0.15,0.0595
"TOI-2373 b",860,188.6,14.39,0.0594
"Kepler-428 b",1070,64.66,1.25,0.0594
"Kepler-74 b",1078,48.31,0.89,0.0593
"TOI-2842 b",1471,33.89,0.31,0.0592
"PDS 70 c",995,59.05,0.29,0.059
"TOI-3912 b",1512,33.67,0.24,0.0588
"K2-30 b",1092,44.52,0.64,0.0586
"NGTS-18 b",1381,34.67,0.29,0.0585
"TOI-622 b",1388,36.17,0.67,0.0581
"CoRoT-4 b",1074,46.39,0.53,0.0577
"HD 1397 b",1228.3,37.93,0.48,0.0577
"Kepler-39 b",897,240.1,13.12,0.0573
"TOI-2524 b",1100,47.71,0.8,0.0572
"WASP-52 b",1315,35.89,0.28,0.0572
"CoRoT-5 b",1438,34.59,0.22,0.0572
"WASP-173 A b",1880,104.58,2.66,0.0571
"NGTS-25 b",1101,47.14,0.74,0.057
"Qatar-9 b",1134,64.77,1.44,0.0568
"WASP-150 b",1460,167.7,8.59,0.0568
"WASP-113 b",1496,34.63,0.21,0.0562
"WASP-91 b",1160,68.02,1.53,0.056
"WASP-45 b",1153,60.2,1.42,0.056
"TOI-1194 b",1264.29,41.56,1,0.0558
"TOI-2421 b",1534,35.78,0.52,0.0556
"HAT-P-16 b",1626,107.56,2.44,0.0553
"TOI-2109 b",3646,115.13,2.56,0.0553
"TOI-2986 b",1622,36.12,0.66,0.0553
"WASP-96 b",1285,37.72,0.35,0.055
"WASP-167 b",2329,134.2,2.52,0.0549
"HATS-44 b",1161,43.21,0.57,0.0549
"WASP-145 A b",1200,59.31,1.52,0.0548
"TOI-640 b",1816,34.33,0.14,0.0544
"K2-60 b",1400,47.1,1.66,0.0542
"CoRoT-13 b",1700,72.5,2.35,0.054
"HAT-P-25 b",1182,42.23,0.48,0.054
"HAT-P-1 b",1322,37.63,0.28,0.0537
"WASP-144 b",1260,42.91,0.89,0.0536
"HAT-P-64 b",1766,34.8,0.15,0.0534
"TOI-3837 b",1178,46.51,0.8,0.0534
"HATS-13 b",1244,39.92,0.38,0.0533
"HATS-59 b",1128,50.46,0.7,0.0533
"TOI-5322 b",1350,37.28,0.22,0.0532
"HATS-66 b",1998,115.91,2.36,0.0531
"TOI-481 b",1370,74.14,1.96,0.0531
"HAT-P-65 b",1818,34.97,0.16,0.053
"NGTS-16 b",1177,42.72,0.38,0.053
"TOI-5386 A b",1488,36.37,0.27,0.0529
"TOI-4791 b",1472,86.04,2.1,0.0528
"HATS-27 b",1659,35.45,0.2,0.0528
"NGTS-15 b",1146,49.28,0.7,0.0527
"Kepler-43 b",1620,97.08,2.22,0.0527
"HAT-P-32 b",1835.7,34.95,0.11,0.0526
"TOI-2158 b",1188,55.12,1.15,0.0526
"TOI-1820 b",1375,84.71,1.93,0.0525
"TOI-2992 b",1726,98.25,2.24,0.0524
"HAT-P-46 b",1458,36.95,0.29,0.0523
"HAT-P-60 b",1772,35.38,0.16,0.0522
"WASP-118 b",1729,35.63,0.21,0.0522
"TOI-3364 b",1264,73.79,1.6,0.0521
"TOI-1749 b",831,71.72,117.03,0.052
"WASP-161 b",1557,88.03,2.08,0.0515
"K2-29 b",1171,46.71,0.54,0.0514
"TOI-905 b",1192,45.01,0.52,0.0514
"HD 118203 b",1361,81.71,1.8,0.0514
"HATS-29 b",1212,43.09,0.42,0.0513
"HATS-56 b",1902,35.62,0.16,0.0513
"HATS-15 b",1505,83.58,2,0.0513
"TOI-2969 b",1186,61.24,1.08,0.051
"HATS-53 b",1312,39.74,0.31,0.0509
"K2-99 b",1184,54.03,0.91,0.0508
"BD-14 3065 b",2001,151.15,2.15,0.0506
"HAT-P-63 b",1237,44.18,0.55,0.0504
"WASP-98 b",1171,53.54,0.77,0.0504
"Kepler-77 b",1440,39.91,0.6,0.0503
"HATS-4 b",1315,67.92,1.55,0.0503
"HATS-25 b",1277,41.6,0.38,0.0502
"HAT-P-52 b",1218,53.7,0.99,0.0501
"WASP-185 b",1160,52.81,0.62,0.05
"CoRoT-18 b",1550,97.07,1.92,0.0498
"HAT-P-61 b",1505,64.67,1.81,0.0498
"HATS-26 b",1918,36.35,0.15,0.0497
"WASP-141 b",1540,88.92,1.89,0.0496
"HAT-P-39 b",1752,36.83,0.19,0.0495
"HD 63433 b",886.44,46.5,20.31,0.0495
"TOI-3331 A b",1488,83.5,1.82,0.0495
"Qatar-2 b",1344,84.11,1.57,0.0494
"NGTS-10 b",1332,79.89,1.54,0.0493
"TOI-2207 b",1259,47.83,0.81,0.0493
"HAT-P-59 b",1277.8,69.84,1.35,0.0493
"HAT-P-55 b",1367,40.01,0.32,0.0493
"HATS-69 b",1295.7,46.6,0.85,0.0492
"TOI-3321 b",1616,37.68,0.26,0.0491
"TOI-5232 b",1772,85.45,1.97,0.049
"HATS-28 b",1253,44.74,0.49,0.0489
"NGTS-24 b",1499,39.03,0.36,0.0488
"NGTS-23 b",1327,41.48,0.38,0.0488
"HATS-16 b",1592,94.59,1.85,0.0487
"CoRoT-26 b",1600,38.32,0.32,0.0487
"WASP-90 b",1840,37.08,0.18,0.0487
"WASP-164 b",1610,81.95,1.85,0.0486
"WASP-184 b",1480,39.04,0.3,0.0486
"HATS-14 b",1276,60.55,1.19,0.0485
"CT Cha b",2600,165.78,1.99,0.0485
"TOI-1107 b",1728,95.74,1.9,0.0484
"HATS-39 b",1645,37.78,0.2,0.0484
"XO-5 b",1230,60.93,1,0.0484
"WASP-159 b",1850,37.65,0.26,0.0482
"TOI-150.01",1404.5,84.34,1.58,0.0482
"TOI-2981 b",1358,77.28,1.46,0.048
"WASP-120 b",1880,108.22,1.89,0.0478
"TOI-332 b",1871,47.35,9.63,0.0477
"HATS-10 b",1407,43.94,0.72,0.0475
"WASP-170 b",1422,72.06,1.51,0.0474
"Kepler-8 b",1680,38.5,0.26,0.0474
"TOI-3023 b",1596,38.78,0.24,0.0474
"TOI-3856 b",1544,39.79,0.38,0.0474
"WASP-124 b",1400,41.49,0.39,0.0474
"WASP-169 b",1604,39.12,0.31,0.0474
"WASP-70 A b",1387,42.46,0.47,0.0472
"KELT-10 b",1377,41.55,0.31,0.0471
"Kepler-40 b",1620,81.79,1.71,0.0471
"TOI-1853 b",1479,51.52,9.74,0.0471
"TOI-3474 b",1451,40.71,0.34,0.047
"TOI-564 b",1714,71.43,1.72,0.0468
"WASP-57 b",1338,46.71,0.69,0.0467
"TOI-2580 b",2410,38.02,0.21,0.0467
"K2-97 b",1566,40.34,0.4,0.0466
"HAT-P-28 b",1384,42.86,0.44,0.0466
"NGTS-27 b",1783,38.87,0.27,0.0465
"Kepler-41 b",1790,39.29,0.32,0.0462
"HAT-P-37 b",1271,59.41,0.89,0.0461
"NGTS-2 b",1468,40.62,0.23,0.0461
"WTS-1 b",1500,97.84,1.51,0.046
"NGTS-21 b",1357,79.44,1.25,0.0459
"WASP-2 b",1311,55.35,0.92,0.0459
"TOI-2818 b",1376,43.04,0.35,0.0459
"Kepler-435 b",1729,38.74,0.13,0.0459
"TOI-2152 A b",1802,88.64,1.68,0.0458
"TOI-3980 b",1621,40.33,0.34,0.0458
"WASP-116 b",1414,43.2,0.44,0.0457
"WASP-65 b",1480,70.41,1.4,0.0455
"WASP-192 b",1620,81.55,1.54,0.0453
"TOI-4214 b",1642,44.05,0.75,0.045
"Kepler-6 b",1460,42.69,0.37,0.045
"WASP-44 b",1337,53.04,0.81,0.045
"WASP-5 b",1706,71.9,1.53,0.0449
"KPS-1 b",1459,61.35,1.24,0.0449
"NGTS-8 b",1345,55.09,0.89,0.0449
"WASP-171 b",1642,62.72,1.43,0.0449
"TIC 257060897 b",1762,39.99,0.25,0.0448
"WASP-102 b",1671,40.79,0.33,0.0448
"TOI-3135 b",1292,54.84,0.71,0.0448
"WASP-140 b",1320,77.63,1.02,0.0447
"WASP-50 b",1394.84,66.94,1.15,0.0447
"CoRoT-36 b",1567,41.42,0.3,0.0446
"WASP-46 b",1636,76.07,1.47,0.0446
"Kepler-423 b",1605,42.14,0.44,0.0446
"TrES-5 b",1480,73.02,1.31,0.0445
"HATS-54 b",1429,51.37,0.9,0.0444
"TOI-2169 A b",1364,57.49,0.93,0.0443
"TOI-892 b",1397,56.2,0.97,0.0442
"HATS-1 b",1359,71.19,1.05,0.0442
"HATS-30 b",1414,46.23,0.54,0.0442
"TOI-2031 A b",1358,47.39,0.49,0.0442
"NGTS-6 b",1283.9,59.93,0.71,0.0441
"CFHTWIR-Oph 98 b",1800,122.13,1.51,0.044
"Kepler-17 b",1570,81.57,1.36,0.0439
"Qatar-1 b",1418,63.46,1.08,0.0438
"HAT-P-20 b",970,172.41,13.84,0.0438
"TOI-2382 b",1426,49.07,0.71,0.0438
"TOI-2977 b",1544,71.34,1.29,0.0437
"TOI-778 b",1561,84.57,1.33,0.0436
"TOI-4463 A b",1395,48.86,0.6,0.0435
"HATS-45 b",1518,44,0.41,0.0434
"HATS-60 b",1528,45.19,0.54,0.0433
"WASP-163 b",1638,74.39,1.34,0.0433
"WASP-165 b",1624,43.1,0.41,0.0433
"TOI-4087 b",1458,47.23,0.58,0.0432
"HATS-2 b",1550,65.9,1.21,0.0431
"TOI-2107 b",1397,49.37,0.58,0.0431
"HATS-55 b",1367,51.17,0.59,0.043
"WASP-81 b",1623,42.6,0.31,0.043
"HAT-P-9 b",1540,43.73,0.34,0.0429
"Qatar-10 b",1955,41.19,0.25,0.0428
"NGTS-17 b",1457,46.81,0.5,0.0428
"TOI-1789 b",1927,41.58,0.29,0.0428
"WASP-138 b",1590,63.1,1.17,0.0427
"HAT-P-4 b",1686,43.28,0.4,0.0427
"PDS 70 b",1204,62.63,0.19,0.0426
"HAT-P-62 b",1512,50.23,0.77,0.0426
"TOI-2570 b",1431,48.95,0.57,0.0426
"WASP-104 b",1516,63.08,1.08,0.0425
"HATS-63 b",1398.3,53.19,0.68,0.0425
"HATS-51 b",1553,44.02,0.34,0.0425
"XO-7 b",1743,42.86,0.34,0.0423
"Wendelstein-1 b",2198,45.18,0.67,0.0422
"HAT-P-66 b",1896,41.85,0.24,0.0422
"Kepler-44 b",1544,57.12,0.96,0.042
"WASP-36 b",1733,79.55,1.26,0.0419
"TOI-2714 b",1603,45.66,0.49,0.0419
"WASP-76 b",2228,41.41,0.17,0.0418
"WASP-155 b",1468,50.81,0.63,0.0417
"HATS-33 b",1429,58.71,0.8,0.0417
"HATS-32 b",1437,51.19,0.59,0.0417
"CoRoT-12 b",1442,47.59,0.38,0.0417
"TOI-1937 A b",2097,75.72,1.29,0.0416
"WASP-190 b",1500,55.61,0.82,0.0415
"TOI-3894 b",1531,46.26,0.4,0.0415
"HATS-65 b",1634,44.11,0.3,0.0415
"HATS-34 b",1445,48.38,0.4,0.0413
"HAT-P-42 b",1428,53.86,0.62,0.0413
"VHS J125601.92-125723.9 b",1194,215.98,10.96,0.0412
"HAT-P-70 b",2562,113.56,1.29,0.0412
"TOI-4137 b",1570,65.03,1.01,0.0412
"TOI-3540 A b",1498,44.71,0.16,0.0411
"TOI-3688 A b",1534,54.65,0.77,0.0409
"TOI-169 b",1715,50.9,0.77,0.0409
"HATS-58 A b",1721,57.84,0.98,0.0408
"KELT-21 b",2051,93.64,1.22,0.0408
"Kepler-433 b",1776,83.18,1.15,0.0408
"TOI-5340 b",1566,47.41,0.43,0.0407
"TOI-2193 A b",1763,43.46,0.21,0.0407
"WASP-79 b",1716.2,44.45,0.3,0.0407
"WASP-123 b",1520,49.26,0.49,0.0407
"KELT-4 A b",1823,43.45,0.23,0.0407
"TOI-1333 b",1679,77.71,1.08,0.0406
"HATS-31 b",1823,43.69,0.25,0.0406
"WASP-7 b",1487,50.67,0.51,0.0406
"WASP-180 A b",1540,50.81,0.59,0.0406
"KELT-16 b",2453,83.14,1.21,0.0405
"WASP-92 b",1871,44.27,0.32,0.0405
"HAT-P-36 b",1780.97,71.75,1.1,0.0405
"KELT-12 b",1800,43.57,0.21,0.0405
"TOI-1601 b",1493.97,58.47,0.75,0.0404
"WASP-176 b",1721,44.95,0.31,0.0404
"K2-238 b",1587,48.51,0.49,0.0404
"TOI-3160 A b",1539,58.71,0.8,0.0404
"TOI-5181 A b",1585,55.73,0.77,0.0402
"TOI-1431 b",2370,86.3,1.17,0.0402
"TOI-3819 b",1633,58.04,0.86,0.0402
"WASP-175 b",1571,53.99,0.7,0.0402
"WASP-142 b",2000,44.19,0.29,0.0401
"TOI-2154 b",1580,47.46,0.37,0.0401
"TOI-858 B b",1529,55.83,0.69,0.0401
"Wendelstein-2 b",2470,47.36,0.58,0.04
"KELT-23 A b",1561,50.22,0.5,0.04
"CoRoT-11 b",1657,76.12,0.99,0.0399
"TOI-2420 b",1571.6,49.6,0.48,0.0399
"HAT-P-45 b",1652,47.17,0.38,0.0398
"HATS-52 b",1834,75.93,1.06,0.0398
"TOI-2236 b",1688,66.21,0.93,0.0396
"Kepler-91 b",2040,45.91,0.39,0.0396
"TOI-5592 b",1789,45.72,0.31,0.0396
"HATS-64 b",1793,45.1,0.25,0.0396
"HATS-18 b",2069.48,72.79,1.05,0.0394
"TOI-3464 b",1693,60.17,0.84,0.0394
"TOI-157 b",1588,57.13,0.69,0.0393
"HATS-68 b",1741,61.03,0.86,0.0392
"HATS-24 b",2166,75.91,1.04,0.0392
"HAT-P-23 b",2056,73.71,1.02,0.0391
"TOI-4794 b",1673,51.9,0.57,0.0391
"NGTS-33 b",1991,88.73,1.02,0.0391
"TOI-3807 b",1646,47.35,0.29,0.039
"WASP-133 b",1790,58.39,0.81,0.039
"Kepler-76 b",2140,72.5,0.99,0.0389
"WASP-64 b",1689,59.64,0.77,0.0389
"Kepler-5 b",1750,72.56,0.91,0.0388
"WASP-197 b",1665,59.17,0.74,0.0388
"TOI-4487 A b",1639,58.41,0.7,0.0388
"OGLE-TR-132 b",2013,59.14,0.85,0.0388
"WASP-188 b",1666,62.31,0.78,0.0387
"TOI-2803 A b",1893,46.32,0.29,0.0387
"WASP-75 b",1710,54.74,0.65,0.0387
"TOI-6016 b",1890,58.4,0.8,0.0387
"TOI-6130 b",1750,54.02,0.62,0.0385
"HATS-3 b",1648,52.52,0.51,0.0385
"HAT-P-69 b",1930,87.16,0.95,0.0385
"WASP-114 b",2043,68.55,0.92,0.0385
"Kepler-412 b",1850,49.96,0.49,0.0385
"HAT-P-53 b",1778,63.28,0.81,0.0384
"WASP-119 b",1600,55.9,0.56,0.0383
"HIP 65 A b",1411,75.03,0.48,0.0383
"HAT-P-50 b",1862,61.06,0.79,0.0382
"HATS-42 b",1856,69.11,0.85,0.0382
"WASP-149 b",1855,50.91,0.49,0.0381
"CoRoT-35 b",1747,48.26,0.29,0.038
"WASP-194 b",1693,54.99,0.55,0.0379
"TOI-4153 b",1669,53.33,0.48,0.0379
"TOI-1855 b",1701,49.42,0.31,0.0379
"GQ Lup b",2650,154.04,0.92,0.0379
"WASP-136 b",1742,62.39,0.71,0.0378
"CoRoT-19 b",2000,55.32,0.64,0.0378
"CoRoT-1 b",1898,49.59,0.39,0.0377
"HD 202772 A b",2132,48.39,0.34,0.0377
"TOI-2346 b",1689,55.38,0.52,0.0376
"TOI-163 b",1669,53.98,0.46,0.0376
"WTS-2 b",2000,54.06,0.55,0.0373
"K2-237 b",1759,58.23,0.58,0.0372
"XO-6 b",1577,86.95,0.62,0.0372
"OGLE-TR-56 b",2212,60.23,0.68,0.037
"KELT-20 b",2262,83.12,0.8,0.0369
"WASP-19 b",2113,53.86,0.51,0.0369
"HD 2685 b",2061,53.76,0.49,0.0368
"TOI-3523 A b",1984,58.48,0.59,0.0367
"TOI-1295 b",2360,60.06,0.64,0.0367
"HATS-35 b",2037,54.49,0.48,0.0366
"KELT-18 b",2085,51.7,0.38,0.0366
"KELT-19 A b",1935,87.06,0.73,0.0366
"HATS-23 b",1654,53.02,0.28,0.0366
"KELT-14 b",1970,51.19,0.3,0.0363
"KELT-17 b",2087,55.28,0.46,0.0362
"MASCARA-4 b",2250,62.71,0.6,0.036
"WASP-33 b",2781.7,68.36,0.64,0.0359
"WASP-93 b",1942,57.22,0.45,0.0359
"WASP-103 b",2508,58.89,0.52,0.0358
"TOI-2886 b",1978,54.72,0.38,0.0358
"Kepler-107 d",1173,33.51,66.75,0.0357
"HATS-40 b",2101,59.83,0.5,0.0357
"WASP-189 b",3353,66.12,0.58,0.0355
"HATS-67 b",2193,55.32,0.38,0.0355
"K2-260 b",2090,61.02,0.48,0.0354
"Qatar-7 b",2053,62.72,0.48,0.0352
"WASP-178 b",2470,57.11,0.35,0.0348
"KELT-9 b",4050,73.6,0.53,0.0348
"TOI-1518 b",2492,66.05,0.43,0.0344
"TOI-411 b",1241,35.53,29.92,0.0281
"CoRoT-27 b",1500,191.57,12.66,0.0235
"TOI-1670 b",1062,50.16,26.06,0.0231
"HIP 94235 b",1060,125.89,77.4,0.0187
"TOI-4603 b",1677,209.76,14.18,0.0159
"TOI-1994 b",2290,253.83,15.15,0.0118
"KOI-4777.01",1180,156.2,4123.52,0.011
"HD 206893 b",1429.2,282.26,17.84,0.0099
"TOI-5882 b",1515,276.63,25.58,0.0035
