pl_name,hostname,discoverymethod,default_flag,pl_bmasse,pl_rade,pl_eqt,pl_orbeccen,st_met,st_teff,st_rad,st_mass,pl_insol
HD 23472 f,HD 23472,Transit,1,0.77,1.137,630.0,0.07,-0.2,4684.0,0.71,0.67,26.3
HD 25463 b,HD 25463,Transit,1,8.7,2.54535814,1198.46,0.0,-0.018,6353.0,1.4182,1.251,
HD 25463 c,HD 25463,Transit,1,4.3,1.36354953,1585.57,0.0,-0.018,6353.0,1.4182,1.251,
HD 260655 b,HD 260655,Transit,1,2.14,1.24,709.0,0.039,-0.43,3803.0,0.439,0.439,42.2
HD 260655 c,HD 260655,Transit,1,3.09,1.533,557.0,0.038,-0.43,3803.0,0.439,0.439,16.1
HD 2685 b,HD 2685,Transit,1,371.8611,16.14096,2061.0,0.091,0.02,6801.0,1.56,1.43,
HD 28109 b,HD 28109,Transit,1,18.496,2.199,881.2,0.3307,0.0,6120.0,1.446,1.26,
HD 28109 c,HD 28109,Transit,1,7.943,4.23,585.2,0.1203,0.0,6120.0,1.446,1.26,
HD 28109 d,HD 28109,Transit,1,5.681,3.25,506.5,0.0864,0.0,6120.0,1.446,1.26,
HD 3167 b,HD 3167,Transit,1,4.97,1.67,1774.0,0.0,0.04,5261.0,0.88,0.837,1650.0
HD 3167 c,HD 3167,Transit,1,11.13,3.0,564.0,0.06,0.04,5261.0,0.88,0.837,16.9
HD 332231 b,HD 332231,Transit,1,74.1,9.07303305,798.3,0.0,0.043,6128.0,1.266,1.1642,
HD 35843 c,HD 35843,Transit,1,11.32,2.54,479.0,0.153,-0.27,5666.0,0.897,0.94,
HD 42813 b,HD 42813,Transit,1,9.1,3.41,716.0,,0.24,5289.0,0.98,0.901,74.7
HD 5278 b,HD 5278,Transit,1,7.8,2.45,943.0,0.08,-0.12,6203.0,1.194,1.126,132.0
HD 6061 b,HD 6061,Transit,1,10.0,2.42763557,1075.31,0.0,-0.05,5934.0,1.0072,1.0269,
HD 63433 b,HD 63433,Transit,1,37.3,2.16351593,886.44,0.0,0.079,5634.0,0.9169,0.9883,
HD 63433 c,HD 63433,Transit,1,17.2,2.58229101,622.31,0.0,0.079,5634.0,0.9169,0.9883,
HD 63935 b,HD 63935,Transit,1,10.5,2.91575244,825.22,0.0,0.107,5513.0,0.9598,0.9406,
HD 63935 c,HD 63935,Radial Velocity,1,11.1,3.06451296,619.59,0.0,0.107,5513.0,0.9598,0.9406,
HD 73344 b,HD 73344,Transit,1,10.48,2.884,911.0,0.03,0.143,6252.6,1.22,1.2,
HD 73583 b,HD 73583,Transit,1,10.2,2.79,714.0,0.09,0.0,4511.0,0.65,0.73,43.3
HD 73583 c,HD 73583,Transit,1,9.7,2.39,498.0,0.08,0.0,4511.0,0.65,0.73,10.2
HD 77946 b,HD 77946,Transit,1,10.9,2.89646124,1128.86,0.211,0.215,6007.0,1.3174,1.1973,
HD 80653 b,HD 80653,Transit,1,5.72,1.613,2463.0,0.0,0.255,5959.0,1.22,1.18,6130.0
HD 86226 c,HD 86226,Transit,1,7.25,2.16,1311.0,0.075,0.018,5863.0,1.053,1.019,
HD 88986 b,HD 88986,Radial Velocity,1,17.2,2.49,460.0,0.24,0.06,5861.0,1.543,1.25,
HD 89345 b,HD 89345,Transit,1,34.9613,7.39794,1089.0,0.22,0.421,5576.0,1.747,1.157,
HD 93963 A b,HD 93963 A,Transit,1,2.8,1.46954368,1842.23,0.0,0.11,5908.0,1.0311,1.0844,
HD 93963 A c,HD 93963 A,Transit,1,18.4,3.11976057,1212.45,0.0,0.11,5908.0,1.0311,1.0844,
HD 95338 b,HD 95338,Radial Velocity,1,42.44,3.89,385.0,0.197,0.04,5212.0,0.87,0.83,7.42
HD 97658 b,HD 97658,Radial Velocity,1,8.3,2.12,751.0,0.05,-0.23,5212.0,0.728,0.85,
HIP 116454 b,HIP 116454,Transit,1,9.7,2.469,753.2,0.215,0.0,5048.0,0.758,0.8,51.2858
HIP 29442 c,HD 42813,Radial Velocity,1,4.5,1.551,1123.0,,0.24,5289.0,0.98,0.901,451.0
HIP 29442 d,HD 42813,Radial Velocity,1,5.14,1.538,920.0,,0.24,5289.0,0.98,0.901,203.0
HIP 65 A b,HIP 65 A,Transit,1,1021.18779,22.75427,1411.0,0.0,0.18,4590.0,0.7242,0.781,661.0
HIP 65426 b,HIP 65426,Imaging,1,2860.47,16.8135,1500.0,,,8840.0,1.77,1.96,
HIP 8152 b,HIP 8152,Transit,1,8.9,2.53625843,794.96,0.0,0.007,5618.0,0.9603,0.9373,
HIP 8152 c,HIP 8152,Transit,1,10.7,2.52442508,650.68,0.2,0.007,5618.0,0.9603,0.9373,
HIP 94235 b,HIP 94235,Transit,1,379.0,3.0,1060.0,0.32,0.0,5991.0,1.08,1.094,
HIP 9618 b,HIP 9618,Transit,1,8.3,3.82838127,640.88,0.0,-0.018,5649.0,0.9593,0.942,
HIP 9618 c,HIP 9618,Transit,1,7.0,3.42855926,470.31,0.0,-0.018,5649.0,0.9593,0.942,
HIP 97166 b,HIP 97166,Transit,1,19.1,2.4801338,701.66,0.29,0.248,5216.0,0.8418,0.9342,
HR 858 b,HR 858,Transit,1,3.55,2.004,1552.0,0.0,0.025,6354.0,1.258,1.204,
HR 858 c,HR 858,Transit,1,3.8,1.979,1309.0,0.0,0.025,6354.0,1.258,1.204,
HR 858 d,HR 858,Transit,1,7.1,2.001,1061.0,0.0,0.025,6354.0,1.258,1.204,
HR 8799 e,HR 8799,Imaging,1,3178.3,13.11453,1150.0,0.15,-0.5,7400.0,,,
K2-100 b,K2-100,Transit,1,21.8,3.88,1841.0,0.0,0.22,5945.0,1.24,1.15,1915.0
K2-110 b,K2-110,Transit,1,15.9,2.592,638.0,0.13,-0.34,5010.0,0.713,0.738,27.7
K2-111 b,K2-111,Transit,1,5.58,1.82,1309.0,0.1,-0.46,5775.0,1.25,0.84,490.0
K2-114 b,K2-114,Transit,1,638.83509807,10.59248676,701.4,0.079,0.42,4899.0,0.832,0.863,
K2-115 b,K2-115,Transit,1,321.00669107,11.80305668,696.0,0.063,-0.198,5870.0,0.855,0.918,
K2-12 b,K2-12,Transit,1,5.2,2.44,1026.0,0.5,0.0,5672.0,1.117,0.965,185.0
K2-131 b,K2-131,Transit,1,7.9,1.69,2223.0,0.0,-0.04,5120.0,0.7595,0.803,4070.0
K2-136 b,K2-136,Transit,1,4.3,1.014,610.0,0.14,-0.02,4500.0,0.677,0.742,33.5
K2-136 c,K2-136,Transit,1,18.1,3.0,470.0,0.047,-0.02,4500.0,0.677,0.742,11.91
K2-136 d,K2-136,Transit,1,3.0,1.565,420.0,0.071,-0.02,4500.0,0.677,0.742,7.07
K2-140 b,K2-140,Transit,1,295.58041851,13.56286665,962.0,0.0,0.1,5585.0,1.06,0.96,204.0
K2-141 b,K2-141,Transit,1,4.97,1.51,2103.0,0.0,0.0,4570.0,0.681,0.708,3260.0
K2-141 c,K2-141,Transit,1,8.0,7.0,695.0,0.092,0.0,4570.0,0.681,0.708,39.1
K2-157 b,K2-157,Transit,1,1.14,0.935,2432.0,,0.02,5334.0,0.86,0.89,6660.0
K2-18 b,K2-18,Transit,1,8.92,2.37,284.0,0.2,0.12,3457.0,0.411,0.359,
K2-180 b,K2-180,Transit,1,11.41003981,2.46597575,797.5,0.075,-0.578,5365.0,0.719,0.735,
K2-182 b,K2-182,Transit,1,20.97667486,2.71257333,965.8,0.071,0.022,5128.0,0.789,0.823,
K2-199 b,K2-199,Transit,1,6.9,1.73,913.0,0.02,-0.01,4491.0,0.682,0.711,116.2
K2-199 c,K2-199,Transit,1,12.4,2.85,694.0,0.03,-0.01,4491.0,0.682,0.711,38.6
K2-216 b,K2-216,Transit,1,8.0,1.75,1103.0,0.0,0.0,4503.0,0.72,0.7,248.0
K2-222 b,K2-222,Transit,1,8.7,2.35,871.0,0.16,-0.315,5942.0,1.115,0.989,96.0
K2-232 b,K2-232,Transit,1,126.49634,11.209,1030.0,0.258,0.1,6154.0,1.161,1.188,
K2-233 b,K2-233,Transit,1,2.4,1.315,1127.0,0.0,-0.082,4796.0,0.71,0.79,269.0
K2-233 c,K2-233,Transit,1,4.6,1.272,794.0,0.0,-0.082,4796.0,0.71,0.79,66.2
K2-233 d,K2-233,Transit,1,10.3,2.363,525.0,0.18,-0.082,4796.0,0.71,0.79,12.7
K2-237 b,K2-237,Transit,1,434.15360396,16.06246934,1759.0,0.03,0.337,6180.0,1.236,1.256,
K2-238 b,K2-238,Transit,1,273.3338,14.5717,1587.0,0.0,0.34,5630.0,1.59,1.19,
K2-25 b,K2-25,Transit,1,24.5,3.44,494.0,0.428,0.15,3207.0,0.2932,0.2634,9.91
K2-260 b,K2-260,Transit,1,546.66486004,18.41635529,2090.0,0.053,0.334,6860.0,1.755,1.637,
K2-261 b,K2-261,Transit,1,68.96876432,9.26982704,1036.0,0.274,0.372,5490.0,1.663,1.107,
K2-263 b,K2-263,Transit,1,14.9,2.41,470.0,0.15,-0.08,5368.0,0.85,0.88,8.17
K2-265 b,K2-265,Transit,1,7.3418362,1.70824866,1366.0,0.16,0.033,5420.0,0.92,0.901,
K2-266 b,K2-266,Transit,1,11.26782377,3.3,1515.0,,-0.12,4285.0,0.703,0.686,879.5
K2-266 c,K2-266,Transit,1,0.29013072,0.705,664.5,0.042,-0.12,4285.0,0.703,0.686,32.4
K2-266 d,K2-266,Transit,1,8.9,2.93,538.3,0.047,-0.12,4285.0,0.703,0.686,13.95
K2-266 e,K2-266,Transit,1,14.3,2.73,490.1,0.043,-0.12,4285.0,0.703,0.686,9.581
K2-27 b,K2-27,Transit,1,30.9,4.48,902.0,0.251,0.13,5248.0,0.885,0.866,116.0
K2-280 b,K2-280,Transit,1,37.1,7.5,787.0,0.35,0.33,5500.0,1.28,1.03,
K2-285 b,K2-285,Transit,1,9.68,2.59,1088.9,0.0,0.0,4975.0,0.787,0.83,234.31
K2-285 c,K2-285,Transit,1,15.68,3.53,741.4,0.0,0.0,4975.0,0.787,0.83,50.35
K2-285 d,K2-285,Transit,1,6.5,2.48,619.9,0.0,0.0,4975.0,0.787,0.83,24.61
K2-285 e,K2-285,Transit,1,10.7,1.95,500.9,0.0,0.0,4975.0,0.787,0.83,10.5
K2-287 b,K2-287,Transit,1,100.11645,9.494023,804.0,0.478,0.2,5695.0,1.07,1.056,
K2-29 b,K2-29,Transit,1,232.0159,13.33871,1171.0,0.066,0.16,5358.0,0.86,0.94,
K2-290 b,K2-290,Transit,1,10.9,3.06,1230.0,0.0,-0.06,6302.0,1.511,1.194,
K2-290 c,K2-290,Transit,1,246.00042,11.276254,676.0,0.0,-0.06,6302.0,1.511,1.194,
K2-292 b,K2-292,Transit,1,24.5,2.63,795.0,0.04,0.07,5725.0,1.09,1.0,67.0
K2-295 b,K2-295,Transit,1,106.47305,10.054473,852.0,0.0,0.14,4444.0,0.7,0.74,
K2-3 b,K2-3,Transit,1,5.11,2.078,501.3,0.107,-0.157,3844.0,0.546,0.549,10.5
K2-3 c,K2-3,Transit,1,2.68,1.582,371.8,0.048,-0.157,3844.0,0.546,0.549,3.17
K2-3 d,K2-3,Transit,1,2.2,1.458,305.2,0.091,-0.157,3844.0,0.546,0.549,1.44
K2-30 b,K2-30,Transit,1,184.02357,11.646151,1092.0,0.0,-0.15,5425.0,0.844,0.9,
K2-32 b,K2-32,Transit,1,15.0,5.299,837.0,0.03,-0.06,5271.0,0.86,0.83,
K2-32 c,K2-32,Transit,1,8.1,3.134,634.0,0.049,-0.06,5271.0,0.86,0.83,
K2-32 d,K2-32,Transit,1,6.7,3.484,550.0,0.05,-0.06,5271.0,0.86,0.83,
K2-32 e,K2-32,Transit,1,2.1,1.212,1066.0,0.043,-0.06,5271.0,0.86,0.83,
K2-329 b,K2-329,Transit,1,82.6358,8.675766,650.0,0.0697,0.098,5282.0,0.822,0.901,45.7
K2-36 b,K2-36,Transit,1,4.3,1.43,1328.0,0.093,,4916.0,0.718,0.79,519.0
K2-36 c,K2-36,Transit,1,7.9,3.2,854.0,0.089,,4916.0,0.718,0.79,89.0
K2-38 b,K2-38,Transit,1,7.7,1.655,1310.0,0.11,0.235,5705.0,1.141,1.054,490.0
K2-38 c,K2-38,Transit,1,7.4,2.49,949.0,0.086,0.235,5705.0,1.141,1.054,135.3
K2-415 b,K2-415,Transit,1,7.5,1.015,412.4,,-0.13,3173.0,0.1965,0.1635,4.82
